"hs6_query","national_tariff_code","unit","description","import_rate","export_rate","trq","sst","excise","cess_1","cess_2","cess_3","source_file","source_sha256"
"732020","7320201200","kg","- - - For earth-moving machinery","5%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_732020.html","0305af59aef513044c76b2af88c20d7f6cbb98e1c1e6bccd54abca29aaf0cf08"
"732020","7320201900","kg","- - - Other","5%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_732020.html","0305af59aef513044c76b2af88c20d7f6cbb98e1c1e6bccd54abca29aaf0cf08"
"732020","7320209000","kg","- - Other","5%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_732020.html","0305af59aef513044c76b2af88c20d7f6cbb98e1c1e6bccd54abca29aaf0cf08"
"840734","8407344000","u","- - - - For pedestrian controlled tractors, of a cylinder capacity not exceeding 1,100 cc","5%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_840734.html","c64bba31e6bd99b070103cee5a5f22edbf13e25fab2b931fda691f97e0a8f2b5"
"840734","8407345000","u","- - - - For other vehicles of heading 87.01","5%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_840734.html","c64bba31e6bd99b070103cee5a5f22edbf13e25fab2b931fda691f97e0a8f2b5"
"840734","8407346000","u","- - - - For vehicles of heading 87.11","5%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_840734.html","c64bba31e6bd99b070103cee5a5f22edbf13e25fab2b931fda691f97e0a8f2b5"
"840734","8407347100","u","- - - - - Of a cylinder capacity not exceeding 2,000 cc","5%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_840734.html","c64bba31e6bd99b070103cee5a5f22edbf13e25fab2b931fda691f97e0a8f2b5"
"840734","8407347200","u","- - - - - Of a cylinder capacity exceeding 2,000 cc but not exceeding 3,000 cc","5%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_840734.html","c64bba31e6bd99b070103cee5a5f22edbf13e25fab2b931fda691f97e0a8f2b5"
"840734","8407347300","u","- - - - - Of a cylinder capacity exceeding 3,000 cc","5%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_840734.html","c64bba31e6bd99b070103cee5a5f22edbf13e25fab2b931fda691f97e0a8f2b5"
"840734","8407349100","u","- - - - For pedestrian controlled tractors, of a cylinder capacity not exceeding 1,100 cc","5%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_840734.html","c64bba31e6bd99b070103cee5a5f22edbf13e25fab2b931fda691f97e0a8f2b5"
"840734","8407349200","u","- - - - For other vehicles of heading 87.01","5%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_840734.html","c64bba31e6bd99b070103cee5a5f22edbf13e25fab2b931fda691f97e0a8f2b5"
"840734","8407349300","u","- - - - For vehicles of heading 87.11","5%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_840734.html","c64bba31e6bd99b070103cee5a5f22edbf13e25fab2b931fda691f97e0a8f2b5"
"840734","8407349400","u","- - - - - Of a cylinder capacity not exceeding 2,000 cc","5%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_840734.html","c64bba31e6bd99b070103cee5a5f22edbf13e25fab2b931fda691f97e0a8f2b5"
"840734","8407349500","u","- - - - - Of a cylinder capacity exceeding 2,000 cc but not exceeding 3,000 cc","5%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_840734.html","c64bba31e6bd99b070103cee5a5f22edbf13e25fab2b931fda691f97e0a8f2b5"
"840734","8407349900","u","- - - - - Of a cylinder capacity exceeding 3,000 cc","5%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_840734.html","c64bba31e6bd99b070103cee5a5f22edbf13e25fab2b931fda691f97e0a8f2b5"
"840820","8408201000","u","- - - For vehicles of subheading 8701.10","0%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_840820.html","4a5e75ef8ff3bfa8fe7ed2801625f5bd01884a4415154b6e6364c6af4f47f440"
"840820","8408202100","u","- - - - Of a cylinder capacity not exceeding 2,000 cc","0%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_840820.html","4a5e75ef8ff3bfa8fe7ed2801625f5bd01884a4415154b6e6364c6af4f47f440"
"840820","8408202200","u","- - - - Of a cylinder capacity exceeding 2,000 cc but not exceeding 3,500 cc","0%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_840820.html","4a5e75ef8ff3bfa8fe7ed2801625f5bd01884a4415154b6e6364c6af4f47f440"
"840820","8408202300","u","- - - - Of a cylinder capacity exceeding 3,500 cc","0%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_840820.html","4a5e75ef8ff3bfa8fe7ed2801625f5bd01884a4415154b6e6364c6af4f47f440"
"840820","8408209300","u","- - - For the vehicles of subheading 8701.10","0%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_840820.html","4a5e75ef8ff3bfa8fe7ed2801625f5bd01884a4415154b6e6364c6af4f47f440"
"840820","8408209400","u","- - - - Of a cylinder capacity not exceeding 2,000 cc","0%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_840820.html","4a5e75ef8ff3bfa8fe7ed2801625f5bd01884a4415154b6e6364c6af4f47f440"
"840820","8408209500","u","- - - - Of a cylinder capacity exceeding 2,000 cc but not exceeding 3,500 cc","0%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_840820.html","4a5e75ef8ff3bfa8fe7ed2801625f5bd01884a4415154b6e6364c6af4f47f440"
"840820","8408209600","u","- - - - Of a cylinder capacity exceeding 3,500 cc","0%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_840820.html","4a5e75ef8ff3bfa8fe7ed2801625f5bd01884a4415154b6e6364c6af4f47f440"
"840991","8409911100","kg","- - - - Carburettors and parts thereof","5%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_840991.html","6bc109b78b14a8cd4d2ea405f2dd362a5e6268fec6085cde9b6c032b8eedc554"
"840991","8409911200","kg","- - - - Cylinder blocks; crank cases","0%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_840991.html","6bc109b78b14a8cd4d2ea405f2dd362a5e6268fec6085cde9b6c032b8eedc554"
"840991","8409911300","kg","- - - - Cylinder liners, with an internal diameter of 50 mm or more, but not exceeding 155 mm","30%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_840991.html","6bc109b78b14a8cd4d2ea405f2dd362a5e6268fec6085cde9b6c032b8eedc554"
"840991","8409911400","kg","- - - - Other cylinder liners","5%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_840991.html","6bc109b78b14a8cd4d2ea405f2dd362a5e6268fec6085cde9b6c032b8eedc554"
"840991","8409911500","kg","- - - - Cylinder heads and head covers","5%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_840991.html","6bc109b78b14a8cd4d2ea405f2dd362a5e6268fec6085cde9b6c032b8eedc554"
"840991","8409911600","kg","- - - - Pistons, with an external diameter of 50 mm or more, but not exceeding 155 mm","30%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_840991.html","6bc109b78b14a8cd4d2ea405f2dd362a5e6268fec6085cde9b6c032b8eedc554"
"840991","8409911700","kg","- - - - Other pistons","5%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_840991.html","6bc109b78b14a8cd4d2ea405f2dd362a5e6268fec6085cde9b6c032b8eedc554"
"840991","8409911800","kg","- - - - Piston rings and gudgeon pins","5%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_840991.html","6bc109b78b14a8cd4d2ea405f2dd362a5e6268fec6085cde9b6c032b8eedc554"
"840991","8409911900","kg","- - - - Other","5%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_840991.html","6bc109b78b14a8cd4d2ea405f2dd362a5e6268fec6085cde9b6c032b8eedc554"
"840991","8409912100","kg","- - - - Carburettors and parts thereof","5%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_840991.html","6bc109b78b14a8cd4d2ea405f2dd362a5e6268fec6085cde9b6c032b8eedc554"
"840991","8409912200","kg","- - - - Cylinder blocks; crank cases","0%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_840991.html","6bc109b78b14a8cd4d2ea405f2dd362a5e6268fec6085cde9b6c032b8eedc554"
"840991","8409912300","kg","- - - - Cylinder liners, with an internal diameter of 50 mm or more, but not exceeding 155 mm","30%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_840991.html","6bc109b78b14a8cd4d2ea405f2dd362a5e6268fec6085cde9b6c032b8eedc554"
"840991","8409912400","kg","- - - - Other cylinder liners","5%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_840991.html","6bc109b78b14a8cd4d2ea405f2dd362a5e6268fec6085cde9b6c032b8eedc554"
"840991","8409912600","kg","- - - - Pistons, with an external diameter of 50 mm or more, but not exceeding 155 mm","30%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_840991.html","6bc109b78b14a8cd4d2ea405f2dd362a5e6268fec6085cde9b6c032b8eedc554"
"840991","8409912800","kg","- - - - Piston rings and gudgeon pins","5%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_840991.html","6bc109b78b14a8cd4d2ea405f2dd362a5e6268fec6085cde9b6c032b8eedc554"
"840991","8409912900","kg","- - - - Other","5%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_840991.html","6bc109b78b14a8cd4d2ea405f2dd362a5e6268fec6085cde9b6c032b8eedc554"
"840991","8409913100","kg","- - - - Carburettors and parts thereof","30%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_840991.html","6bc109b78b14a8cd4d2ea405f2dd362a5e6268fec6085cde9b6c032b8eedc554"
"840991","8409913200","kg","- - - - Cylinder blocks; crank cases","30%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_840991.html","6bc109b78b14a8cd4d2ea405f2dd362a5e6268fec6085cde9b6c032b8eedc554"
"840991","8409913400","kg","- - - - Cylinder liners","30%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_840991.html","6bc109b78b14a8cd4d2ea405f2dd362a5e6268fec6085cde9b6c032b8eedc554"
"840991","8409913500","kg","- - - - Cylinder heads and head covers","30%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_840991.html","6bc109b78b14a8cd4d2ea405f2dd362a5e6268fec6085cde9b6c032b8eedc554"
"840991","8409913700","kg","- - - - Pistons","30%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_840991.html","6bc109b78b14a8cd4d2ea405f2dd362a5e6268fec6085cde9b6c032b8eedc554"
"840991","8409913800","kg","- - - - Piston rings and gudgeon pins","30%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_840991.html","6bc109b78b14a8cd4d2ea405f2dd362a5e6268fec6085cde9b6c032b8eedc554"
"840991","8409913900","kg","- - - - Other","30%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_840991.html","6bc109b78b14a8cd4d2ea405f2dd362a5e6268fec6085cde9b6c032b8eedc554"
"840991","8409914100","kg","- - - - Carburettors and parts thereof","5%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_840991.html","6bc109b78b14a8cd4d2ea405f2dd362a5e6268fec6085cde9b6c032b8eedc554"
"840991","8409914200","kg","- - - - Cylinder blocks; crank cases","0%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_840991.html","6bc109b78b14a8cd4d2ea405f2dd362a5e6268fec6085cde9b6c032b8eedc554"
"840991","8409914300","kg","- - - - Cylinder liners, with an internal diameter of 50 mm or more, but not exceeding 155 mm","30%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_840991.html","6bc109b78b14a8cd4d2ea405f2dd362a5e6268fec6085cde9b6c032b8eedc554"
"840991","8409914400","kg","- - - - Other cylinder liners","5%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_840991.html","6bc109b78b14a8cd4d2ea405f2dd362a5e6268fec6085cde9b6c032b8eedc554"
"840991","8409914500","kg","- - - - Cylinder heads and head covers","5%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_840991.html","6bc109b78b14a8cd4d2ea405f2dd362a5e6268fec6085cde9b6c032b8eedc554"
"840991","8409914600","kg","- - - - Pistons, with an external diameter of 50 mm or more, but not exceeding 155 mm","30%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_840991.html","6bc109b78b14a8cd4d2ea405f2dd362a5e6268fec6085cde9b6c032b8eedc554"
"840991","8409914700","kg","- - - - Other pistons","5%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_840991.html","6bc109b78b14a8cd4d2ea405f2dd362a5e6268fec6085cde9b6c032b8eedc554"
"840991","8409914800","kg","- - - - Piston rings and gudgeon pins","5%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_840991.html","6bc109b78b14a8cd4d2ea405f2dd362a5e6268fec6085cde9b6c032b8eedc554"
"840991","8409914900","kg","- - - - Other","5%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_840991.html","6bc109b78b14a8cd4d2ea405f2dd362a5e6268fec6085cde9b6c032b8eedc554"
"840991","8409915100","kg","- - - - - Cylinder blocks; crank cases","0%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_840991.html","6bc109b78b14a8cd4d2ea405f2dd362a5e6268fec6085cde9b6c032b8eedc554"
"840991","8409915200","kg","- - - - - Cylinder liners, with an internal diameter of 50 mm or more, but not exceeding 155 mm","30%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_840991.html","6bc109b78b14a8cd4d2ea405f2dd362a5e6268fec6085cde9b6c032b8eedc554"
"840991","8409915300","kg","- - - - - Other cylinder liners","5%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_840991.html","6bc109b78b14a8cd4d2ea405f2dd362a5e6268fec6085cde9b6c032b8eedc554"
"840991","8409915400","kg","- - - - - Pistons, with an external diameter of 50 mm or more, but not exceeding 155 mm","30%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_840991.html","6bc109b78b14a8cd4d2ea405f2dd362a5e6268fec6085cde9b6c032b8eedc554"
"840991","8409915500","kg","- - - - - Other pistons","5%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_840991.html","6bc109b78b14a8cd4d2ea405f2dd362a5e6268fec6085cde9b6c032b8eedc554"
"840991","8409915900","kg","- - - - - Other","5%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_840991.html","6bc109b78b14a8cd4d2ea405f2dd362a5e6268fec6085cde9b6c032b8eedc554"
"840991","8409916100","kg","- - - - - Cylinder blocks; crank cases","0%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_840991.html","6bc109b78b14a8cd4d2ea405f2dd362a5e6268fec6085cde9b6c032b8eedc554"
"840991","8409916200","kg","- - - - - Cylinder liners, with an internal diameter of 50 mm or more, but not exceeding 155 mm","30%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_840991.html","6bc109b78b14a8cd4d2ea405f2dd362a5e6268fec6085cde9b6c032b8eedc554"
"840991","8409916300","kg","- - - - - Other cylinder liners","5%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_840991.html","6bc109b78b14a8cd4d2ea405f2dd362a5e6268fec6085cde9b6c032b8eedc554"
"840991","8409916400","kg","- - - - - Pistons, with an external diameter of 50 mm or more, but not exceeding 155 mm","30%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_840991.html","6bc109b78b14a8cd4d2ea405f2dd362a5e6268fec6085cde9b6c032b8eedc554"
"840991","8409916900","kg","- - - - - Other","5%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_840991.html","6bc109b78b14a8cd4d2ea405f2dd362a5e6268fec6085cde9b6c032b8eedc554"
"840991","8409917100","kg","- - - - Carburettors and parts thereof","5%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_840991.html","6bc109b78b14a8cd4d2ea405f2dd362a5e6268fec6085cde9b6c032b8eedc554"
"840991","8409917200","kg","- - - - Cylinder blocks; crank cases","0%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_840991.html","6bc109b78b14a8cd4d2ea405f2dd362a5e6268fec6085cde9b6c032b8eedc554"
"840991","8409917300","kg","- - - - Cylinder liners, with an internal diameter of 50 mm or more, but not exceeding 155 mm","30%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_840991.html","6bc109b78b14a8cd4d2ea405f2dd362a5e6268fec6085cde9b6c032b8eedc554"
"840991","8409917400","kg","- - - - Other cylinder liners","5%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_840991.html","6bc109b78b14a8cd4d2ea405f2dd362a5e6268fec6085cde9b6c032b8eedc554"
"840991","8409917600","kg","- - - - Pistons, with an external diameter of 50 mm or more, but not exceeding 155 mm","30%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_840991.html","6bc109b78b14a8cd4d2ea405f2dd362a5e6268fec6085cde9b6c032b8eedc554"
"840991","8409917700","kg","- - - - Other pistons","5%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_840991.html","6bc109b78b14a8cd4d2ea405f2dd362a5e6268fec6085cde9b6c032b8eedc554"
"840991","8409917800","kg","- - - - Piston rings and gudgeon pins","5%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_840991.html","6bc109b78b14a8cd4d2ea405f2dd362a5e6268fec6085cde9b6c032b8eedc554"
"840991","8409917900","kg","- - - - Other","5%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_840991.html","6bc109b78b14a8cd4d2ea405f2dd362a5e6268fec6085cde9b6c032b8eedc554"
"840999","8409991100","kg","- - - - Carburettors and parts thereof","5%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_840999.html","3b68f3e013a42bb3e32995ac4a9300a889b78fb13e854d2bc746a71d1d998ba6"
"840999","8409991200","kg","- - - - Cylinder blocks; crank cases","0%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_840999.html","3b68f3e013a42bb3e32995ac4a9300a889b78fb13e854d2bc746a71d1d998ba6"
"840999","8409991300","kg","- - - - Cylinder liners, with an internal diameter of 50 mm or more, but not exceeding 155 mm","30%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_840999.html","3b68f3e013a42bb3e32995ac4a9300a889b78fb13e854d2bc746a71d1d998ba6"
"840999","8409991400","kg","- - - - Other cylinder liners","0%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_840999.html","3b68f3e013a42bb3e32995ac4a9300a889b78fb13e854d2bc746a71d1d998ba6"
"840999","8409991500","kg","- - - - Cylinder heads and head covers","5%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_840999.html","3b68f3e013a42bb3e32995ac4a9300a889b78fb13e854d2bc746a71d1d998ba6"
"840999","8409991600","kg","- - - - Pistons, with an external diameter of 50 mm or more, but not exceeding 155 mm","30%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_840999.html","3b68f3e013a42bb3e32995ac4a9300a889b78fb13e854d2bc746a71d1d998ba6"
"840999","8409991700","kg","- - - - Other pistons","0%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_840999.html","3b68f3e013a42bb3e32995ac4a9300a889b78fb13e854d2bc746a71d1d998ba6"
"840999","8409991800","kg","- - - - Piston rings and gudgeon pins","5%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_840999.html","3b68f3e013a42bb3e32995ac4a9300a889b78fb13e854d2bc746a71d1d998ba6"
"840999","8409991900","kg","- - - - Other","5%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_840999.html","3b68f3e013a42bb3e32995ac4a9300a889b78fb13e854d2bc746a71d1d998ba6"
"840999","8409992100","kg","- - - - Carburettors and parts thereof","5%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_840999.html","3b68f3e013a42bb3e32995ac4a9300a889b78fb13e854d2bc746a71d1d998ba6"
"840999","8409992200","kg","- - - - Cylinder blocks; crank cases","0%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_840999.html","3b68f3e013a42bb3e32995ac4a9300a889b78fb13e854d2bc746a71d1d998ba6"
"840999","8409992300","kg","- - - - Cylinder liners, with an internal diameter of 50 mm or more, but not exceeding 155 mm","30%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_840999.html","3b68f3e013a42bb3e32995ac4a9300a889b78fb13e854d2bc746a71d1d998ba6"
"840999","8409992400","kg","- - - - Other cylinder liners","0%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_840999.html","3b68f3e013a42bb3e32995ac4a9300a889b78fb13e854d2bc746a71d1d998ba6"
"840999","8409992500","kg","- - - - Cylinder heads and head covers","5%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_840999.html","3b68f3e013a42bb3e32995ac4a9300a889b78fb13e854d2bc746a71d1d998ba6"
"840999","8409992600","kg","- - - - Pistons, with an external diameter of 50 mm or more, but not exceeding 155 mm","30%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_840999.html","3b68f3e013a42bb3e32995ac4a9300a889b78fb13e854d2bc746a71d1d998ba6"
"840999","8409992700","kg","- - - - Other pistons","0%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_840999.html","3b68f3e013a42bb3e32995ac4a9300a889b78fb13e854d2bc746a71d1d998ba6"
"840999","8409992900","kg","- - - - Other","5%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_840999.html","3b68f3e013a42bb3e32995ac4a9300a889b78fb13e854d2bc746a71d1d998ba6"
"840999","8409993100","kg","- - - - Carburettors and parts thereof","5%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_840999.html","3b68f3e013a42bb3e32995ac4a9300a889b78fb13e854d2bc746a71d1d998ba6"
"840999","8409993200","kg","- - - - Cylinder blocks; crank cases","0%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_840999.html","3b68f3e013a42bb3e32995ac4a9300a889b78fb13e854d2bc746a71d1d998ba6"
"840999","8409993400","kg","- - - - Cylinder heads and head covers","5%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_840999.html","3b68f3e013a42bb3e32995ac4a9300a889b78fb13e854d2bc746a71d1d998ba6"
"840999","8409993600","kg","- - - - Piston rings and gudgeon pins","5%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_840999.html","3b68f3e013a42bb3e32995ac4a9300a889b78fb13e854d2bc746a71d1d998ba6"
"840999","8409993700","kg","- - - - Cylinder liners, with an internal diameter of 50 mm or more, but not exceeding 155 mm; pistons, with an external diameter of 50 mm or more, but not exceeding 155 mm","30%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_840999.html","3b68f3e013a42bb3e32995ac4a9300a889b78fb13e854d2bc746a71d1d998ba6"
"840999","8409993800","kg","- - - - Other cylinder liners and pistons","0%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_840999.html","3b68f3e013a42bb3e32995ac4a9300a889b78fb13e854d2bc746a71d1d998ba6"
"840999","8409993900","kg","- - - - Other","5%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_840999.html","3b68f3e013a42bb3e32995ac4a9300a889b78fb13e854d2bc746a71d1d998ba6"
"840999","8409994100","kg","- - - - Carburettors and parts thereof","5%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_840999.html","3b68f3e013a42bb3e32995ac4a9300a889b78fb13e854d2bc746a71d1d998ba6"
"840999","8409994200","kg","- - - - Cylinder blocks; crank cases","0%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_840999.html","3b68f3e013a42bb3e32995ac4a9300a889b78fb13e854d2bc746a71d1d998ba6"
"840999","8409994300","kg","- - - - Cylinder liners, with an internal diameter of 50 mm or more, but not exceeding 155 mm","30%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_840999.html","3b68f3e013a42bb3e32995ac4a9300a889b78fb13e854d2bc746a71d1d998ba6"
"840999","8409994400","kg","- - - - Other cylinder liners","0%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_840999.html","3b68f3e013a42bb3e32995ac4a9300a889b78fb13e854d2bc746a71d1d998ba6"
"840999","8409994500","kg","- - - - Cylinder heads and head covers","5%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_840999.html","3b68f3e013a42bb3e32995ac4a9300a889b78fb13e854d2bc746a71d1d998ba6"
"840999","8409994600","kg","- - - - Pistons, with an external diameter of 50 mm or more, but not exceeding 155 mm","30%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_840999.html","3b68f3e013a42bb3e32995ac4a9300a889b78fb13e854d2bc746a71d1d998ba6"
"840999","8409994700","kg","- - - - Other pistons","0%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_840999.html","3b68f3e013a42bb3e32995ac4a9300a889b78fb13e854d2bc746a71d1d998ba6"
