ccu_code,regime,mapping_code,candidate_rank,hs6_code,national_tariff_code,tariff_description,duty_rate,sst_rate,verification_status,effective_from,effective_to,source_code,locator_type,locator_value
CCU-BRAKE-MASTER-CYLINDER,RCEP,MAP-MY-RCEP-2026-BRAKE-MASTER-CYLINDER-8708302900,1,870830,8708302900,- - - Other,0.27300000,0.1,CANDIDATE,2026-01-01,,SRC-MY-JKDM-RCEP-870830-RATE2026-P1-60,PORTAL_QUERY,POST hsType=RCEP; hsCriteria=1; hsKeyword=870830; find_item=yes
CCU-BRAKE-MASTER-CYLINDER,RCEP,MAP-MY-RCEP-2026-BRAKE-MASTER-CYLINDER-8708309000,1,870830,8708309000,- - Other,0.27300000,0.1,CANDIDATE,2026-01-01,,SRC-MY-JKDM-RCEP-870830-RATE2026-P1-60,PORTAL_QUERY,POST hsType=RCEP; hsCriteria=1; hsKeyword=870830; find_item=yes
CCU-CATALYTIC-CONVERTER,ACFTA,MAP-MY-ACFTA-2026-CATALYTIC-CONVERTER-8421320000,1,842132,8421320000,"- - Catalytic converters or particulate filters, whether or not combined, for purifying or filtering exhaust gases from internal combustion engines",0E-8,0.1,VERIFIED,2026-01-01,,SRC-MY-JKDM-ACFTA-842132-RATE2026-P1-60,PORTAL_QUERY,POST hsType=ACFTA; hsCriteria=1; hsKeyword=842132; find_item=yes
CCU-CATALYTIC-CONVERTER,MFN,MAP-MY-PDK2025-MFN-CATALYTIC-CONVERTER-8421320000,1,842132,8421320000,"- - Catalytic converters or particulate filters, whether or not combined, for purifying or filtering exhaust gases from internal combustion engines",0.05000000,0.1,VERIFIED,2025-11-01,,SRC-MY-JKDM-PDK2025-842132-P1-60-20260729,PORTAL_QUERY,POST hsType=PDK; hsCriteria=1; hsKeyword=842132; find_item=yes
CCU-DC-DC-CONVERTER,ACFTA,MAP-MY-ACFTA-2026-CCU-DC-DC-CONVERTER-8504409000,1,850440,8504409000,Other static converters,0E-8,,CANDIDATE,2026-01-01,,SRC-MY-JKDM-ACFTA-850440-RATE-2026,HS_EXPLORER_RESULT,ACFTA; HS 850440; RATE_2026
CCU-DC-DC-CONVERTER,MFN,MAP-MY-MFN-CCU-DC-DC-CONVERTER-8504409000-R1,1,850440,8504409000,Other static converters,0E-8,0.1,CANDIDATE,2025-11-01,,SRC-MY-JKDM-PDK2025-850440-20260728,PORTAL_POST_QUERY,POST hsType=PDK; hsCriteria=1; hsKeyword=850440; find_item=yes
CCU-DC-DC-CONVERTER,RCEP,MAP-MY-RCEP-2026-CCU-DC-DC-CONVERTER-8504409000,1,850440,8504409000,Other static converters,0E-8,,CANDIDATE,2026-01-01,,SRC-MY-JKDM-RCEP-850440-RATE-2026,HS_EXPLORER_RESULT,RCEP; HS 850440; RATE_2026
CCU-DIESEL-VEHICLE-ENGINE,ACFTA,MAP-MY-ACFTA-2026-DIESEL-VEHICLE-ENGINE-8408202100,1,840820,8408202100,"- - - - Of a cylinder capacity not exceeding 2,000 cc",0E-8,0.1,CANDIDATE,2026-01-01,,SRC-MY-JKDM-ACFTA-840820-RATE2026-P1-60,PORTAL_QUERY,POST hsType=ACFTA; hsCriteria=1; hsKeyword=840820; find_item=yes
CCU-DIESEL-VEHICLE-ENGINE,ACFTA,MAP-MY-ACFTA-2026-DIESEL-VEHICLE-ENGINE-8408202200,1,840820,8408202200,"- - - - Of a cylinder capacity exceeding 2,000 cc but not exceeding 3,500 cc",0E-8,0.1,CANDIDATE,2026-01-01,,SRC-MY-JKDM-ACFTA-840820-RATE2026-P1-60,PORTAL_QUERY,POST hsType=ACFTA; hsCriteria=1; hsKeyword=840820; find_item=yes
CCU-DIESEL-VEHICLE-ENGINE,ACFTA,MAP-MY-ACFTA-2026-DIESEL-VEHICLE-ENGINE-8408202300,1,840820,8408202300,"- - - - Of a cylinder capacity exceeding 3,500 cc",0E-8,0.1,CANDIDATE,2026-01-01,,SRC-MY-JKDM-ACFTA-840820-RATE2026-P1-60,PORTAL_QUERY,POST hsType=ACFTA; hsCriteria=1; hsKeyword=840820; find_item=yes
CCU-DIESEL-VEHICLE-ENGINE,ACFTA,MAP-MY-ACFTA-2026-DIESEL-VEHICLE-ENGINE-8408209400,1,840820,8408209400,"- - - - Of a cylinder capacity not exceeding 2,000 cc",0E-8,0.1,CANDIDATE,2026-01-01,,SRC-MY-JKDM-ACFTA-840820-RATE2026-P1-60,PORTAL_QUERY,POST hsType=ACFTA; hsCriteria=1; hsKeyword=840820; find_item=yes
CCU-DIESEL-VEHICLE-ENGINE,ACFTA,MAP-MY-ACFTA-2026-DIESEL-VEHICLE-ENGINE-8408209500,1,840820,8408209500,"- - - - Of a cylinder capacity exceeding 2,000 cc but not exceeding 3,500 cc",0E-8,0.1,CANDIDATE,2026-01-01,,SRC-MY-JKDM-ACFTA-840820-RATE2026-P1-60,PORTAL_QUERY,POST hsType=ACFTA; hsCriteria=1; hsKeyword=840820; find_item=yes
CCU-DIESEL-VEHICLE-ENGINE,ACFTA,MAP-MY-ACFTA-2026-DIESEL-VEHICLE-ENGINE-8408209600,1,840820,8408209600,"- - - - Of a cylinder capacity exceeding 3,500 cc",0E-8,0.1,CANDIDATE,2026-01-01,,SRC-MY-JKDM-ACFTA-840820-RATE2026-P1-60,PORTAL_QUERY,POST hsType=ACFTA; hsCriteria=1; hsKeyword=840820; find_item=yes
CCU-DIESEL-VEHICLE-ENGINE,MFN,MAP-MY-PDK2025-MFN-DIESEL-VEHICLE-ENGINE-8408202100,1,840820,8408202100,"- - - - Of a cylinder capacity not exceeding 2,000 cc",0E-8,0.1,CANDIDATE,2025-11-01,,SRC-MY-JKDM-PDK2025-840820-P1-60-20260729,PORTAL_QUERY,POST hsType=PDK; hsCriteria=1; hsKeyword=840820; find_item=yes
CCU-DIESEL-VEHICLE-ENGINE,MFN,MAP-MY-PDK2025-MFN-DIESEL-VEHICLE-ENGINE-8408202200,1,840820,8408202200,"- - - - Of a cylinder capacity exceeding 2,000 cc but not exceeding 3,500 cc",0E-8,0.1,CANDIDATE,2025-11-01,,SRC-MY-JKDM-PDK2025-840820-P1-60-20260729,PORTAL_QUERY,POST hsType=PDK; hsCriteria=1; hsKeyword=840820; find_item=yes
CCU-DIESEL-VEHICLE-ENGINE,MFN,MAP-MY-PDK2025-MFN-DIESEL-VEHICLE-ENGINE-8408202300,1,840820,8408202300,"- - - - Of a cylinder capacity exceeding 3,500 cc",0E-8,0.1,CANDIDATE,2025-11-01,,SRC-MY-JKDM-PDK2025-840820-P1-60-20260729,PORTAL_QUERY,POST hsType=PDK; hsCriteria=1; hsKeyword=840820; find_item=yes
CCU-DIESEL-VEHICLE-ENGINE,MFN,MAP-MY-PDK2025-MFN-DIESEL-VEHICLE-ENGINE-8408209400,1,840820,8408209400,"- - - - Of a cylinder capacity not exceeding 2,000 cc",0E-8,0.1,CANDIDATE,2025-11-01,,SRC-MY-JKDM-PDK2025-840820-P1-60-20260729,PORTAL_QUERY,POST hsType=PDK; hsCriteria=1; hsKeyword=840820; find_item=yes
CCU-DIESEL-VEHICLE-ENGINE,MFN,MAP-MY-PDK2025-MFN-DIESEL-VEHICLE-ENGINE-8408209500,1,840820,8408209500,"- - - - Of a cylinder capacity exceeding 2,000 cc but not exceeding 3,500 cc",0E-8,0.1,CANDIDATE,2025-11-01,,SRC-MY-JKDM-PDK2025-840820-P1-60-20260729,PORTAL_QUERY,POST hsType=PDK; hsCriteria=1; hsKeyword=840820; find_item=yes
CCU-DIESEL-VEHICLE-ENGINE,MFN,MAP-MY-PDK2025-MFN-DIESEL-VEHICLE-ENGINE-8408209600,1,840820,8408209600,"- - - - Of a cylinder capacity exceeding 3,500 cc",0E-8,0.1,CANDIDATE,2025-11-01,,SRC-MY-JKDM-PDK2025-840820-P1-60-20260729,PORTAL_QUERY,POST hsType=PDK; hsCriteria=1; hsKeyword=840820; find_item=yes
CCU-DIESEL-VEHICLE-ENGINE,RCEP,MAP-MY-RCEP-2026-DIESEL-VEHICLE-ENGINE-8408202100,1,840820,8408202100,"- - - - Of a cylinder capacity not exceeding 2,00",0E-8,0.1,CANDIDATE,2026-01-01,,SRC-MY-JKDM-RCEP-840820-RATE2026-P1-60,PORTAL_QUERY,POST hsType=RCEP; hsCriteria=1; hsKeyword=840820; find_item=yes
CCU-DIESEL-VEHICLE-ENGINE,RCEP,MAP-MY-RCEP-2026-DIESEL-VEHICLE-ENGINE-8408202200,1,840820,8408202200,"- - - - Of a cylinder capacity exceeding 2,000 cc",0E-8,0.1,CANDIDATE,2026-01-01,,SRC-MY-JKDM-RCEP-840820-RATE2026-P1-60,PORTAL_QUERY,POST hsType=RCEP; hsCriteria=1; hsKeyword=840820; find_item=yes
CCU-DIESEL-VEHICLE-ENGINE,RCEP,MAP-MY-RCEP-2026-DIESEL-VEHICLE-ENGINE-8408202300,1,840820,8408202300,"- - - - Of a cylinder capacity exceeding 3,500 cc",0E-8,0.1,CANDIDATE,2026-01-01,,SRC-MY-JKDM-RCEP-840820-RATE2026-P1-60,PORTAL_QUERY,POST hsType=RCEP; hsCriteria=1; hsKeyword=840820; find_item=yes
CCU-DIESEL-VEHICLE-ENGINE,RCEP,MAP-MY-RCEP-2026-DIESEL-VEHICLE-ENGINE-8408209400,1,840820,8408209400,"- - - - Of a cylinder capacity not exceeding 2,00",0E-8,0.1,CANDIDATE,2026-01-01,,SRC-MY-JKDM-RCEP-840820-RATE2026-P1-60,PORTAL_QUERY,POST hsType=RCEP; hsCriteria=1; hsKeyword=840820; find_item=yes
CCU-DIESEL-VEHICLE-ENGINE,RCEP,MAP-MY-RCEP-2026-DIESEL-VEHICLE-ENGINE-8408209500,1,840820,8408209500,"- - - - Of a cylinder capacity exceeding 2,000 cc",0E-8,0.1,CANDIDATE,2026-01-01,,SRC-MY-JKDM-RCEP-840820-RATE2026-P1-60,PORTAL_QUERY,POST hsType=RCEP; hsCriteria=1; hsKeyword=840820; find_item=yes
CCU-DIESEL-VEHICLE-ENGINE,RCEP,MAP-MY-RCEP-2026-DIESEL-VEHICLE-ENGINE-8408209600,1,840820,8408209600,"- - - - Of a cylinder capacity exceeding 3,500 cc",0E-8,0.1,CANDIDATE,2026-01-01,,SRC-MY-JKDM-RCEP-840820-RATE2026-P1-60,PORTAL_QUERY,POST hsType=RCEP; hsCriteria=1; hsKeyword=840820; find_item=yes
CCU-DRIVE-AXLE-DIFFERENTIAL,ACFTA,MAP-MY-ACFTA-2026-DRIVE-AXLE-DIFFERENTIAL-8708501100,1,870850,8708501100,- - - For vehicles of heading 87.03,0E-8,0.1,CANDIDATE,2026-01-01,,SRC-MY-JKDM-ACFTA-870850-RATE2026-P1-60,PORTAL_QUERY,POST hsType=ACFTA; hsCriteria=1; hsKeyword=870850; find_item=yes
CCU-DRIVE-AXLE-DIFFERENTIAL,ACFTA,MAP-MY-ACFTA-2026-DRIVE-AXLE-DIFFERENTIAL-8708502600,1,870850,8708502600,- - - For vehicles of heading 87.03,0E-8,0.1,CANDIDATE,2026-01-01,,SRC-MY-JKDM-ACFTA-870850-RATE2026-P1-60,PORTAL_QUERY,POST hsType=ACFTA; hsCriteria=1; hsKeyword=870850; find_item=yes
CCU-DRIVE-AXLE-DIFFERENTIAL,MFN,MAP-MY-PDK2025-MFN-8708501100,1,870850,8708501100,For vehicles of heading 87.03,0.25000000,0.1,CANDIDATE,2025-11-01,,SRC-MY-JKDM-PDK2025-870850-20260729,PORTAL_QUERY,POST hsType=PDK; hsCriteria=1; hsKeyword=870850; find_item=yes
CCU-DRIVE-AXLE-DIFFERENTIAL,MFN,MAP-MY-PDK2025-MFN-8708502600,1,870850,8708502600,For vehicles of heading 87.03,0.25000000,0.1,CANDIDATE,2025-11-01,,SRC-MY-JKDM-PDK2025-870850-20260729,PORTAL_QUERY,POST hsType=PDK; hsCriteria=1; hsKeyword=870850; find_item=yes
CCU-DRIVE-AXLE-DIFFERENTIAL,RCEP,MAP-MY-RCEP-2026-DRIVE-AXLE-DIFFERENTIAL-8708501100,1,870850,8708501100,- - - For vehicles of heading 87.03,0.22700000,0.1,CANDIDATE,2026-01-01,,SRC-MY-JKDM-RCEP-870850-RATE2026-P1-60,PORTAL_QUERY,POST hsType=RCEP; hsCriteria=1; hsKeyword=870850; find_item=yes
CCU-DRIVE-AXLE-DIFFERENTIAL,RCEP,MAP-MY-RCEP-2026-DRIVE-AXLE-DIFFERENTIAL-8708502600,1,870850,8708502600,- - - For vehicles of heading 87.03,0.22700000,0.1,CANDIDATE,2026-01-01,,SRC-MY-JKDM-RCEP-870850-RATE2026-P1-60,PORTAL_QUERY,POST hsType=RCEP; hsCriteria=1; hsKeyword=870850; find_item=yes
CCU-ENGINE-FUEL-PUMP,ACFTA,MAP-MY-ACFTA-2026-ENGINE-FUEL-PUMP-8413303000,1,841330,8413303000,"- - Fuel pumps of a kind used for engines of motor vehicles of heading 87.02, 87.03 or 87.04",0E-8,0.05,VERIFIED,2026-01-01,,SRC-MY-JKDM-ACFTA-841330-RATE2026-P1-60,PORTAL_QUERY,POST hsType=ACFTA; hsCriteria=1; hsKeyword=841330; find_item=yes
CCU-ENGINE-FUEL-PUMP,MFN,MAP-MY-PDK2025-MFN-ENGINE-FUEL-PUMP-8413303000,1,841330,8413303000,"- - Fuel pumps of a kind used for engines of motor vehicles of heading 87.02, 87.03 or 87.04",0E-8,0.05,VERIFIED,2025-11-01,,SRC-MY-JKDM-PDK2025-841330-P1-60-20260729,PORTAL_QUERY,POST hsType=PDK; hsCriteria=1; hsKeyword=841330; find_item=yes
CCU-ENGINE-FUEL-PUMP,RCEP,MAP-MY-RCEP-2026-ENGINE-FUEL-PUMP-8413303000,1,841330,8413303000,- - Fuel pumps of a kind used for engines of motor,0E-8,0.05,VERIFIED,2026-01-01,,SRC-MY-JKDM-RCEP-841330-RATE2026-P1-60,PORTAL_QUERY,POST hsType=RCEP; hsCriteria=1; hsKeyword=841330; find_item=yes
CCU-ENGINE-INTAKE-AIR-FILTER,ACFTA,MAP-MY-ACFTA-2026-ENGINE-INTAKE-AIR-FILTER-8421312000,1,842131,8421312000,- - - For motor vehicles of Chapter 87,0E-8,0.1,VERIFIED,2026-01-01,,SRC-MY-JKDM-ACFTA-842131-RATE2026-P1-60,PORTAL_QUERY,POST hsType=ACFTA; hsCriteria=1; hsKeyword=842131; find_item=yes
CCU-ENGINE-INTAKE-AIR-FILTER,MFN,MAP-MY-PDK2025-MFN-ENGINE-INTAKE-AIR-FILTER-8421312000,1,842131,8421312000,- - - For motor vehicles of Chapter 87,0.25000000,0.1,VERIFIED,2025-11-01,,SRC-MY-JKDM-PDK2025-842131-P1-60-20260729,PORTAL_QUERY,POST hsType=PDK; hsCriteria=1; hsKeyword=842131; find_item=yes
CCU-ENGINE-INTAKE-AIR-FILTER,RCEP,MAP-MY-RCEP-2026-ENGINE-INTAKE-AIR-FILTER-8421312000,1,842131,8421312000,- - - For motor vehicles of Chapter 87,0.12500000,0.1,VERIFIED,2026-01-01,,SRC-MY-JKDM-RCEP-842131-RATE2026-P1-60,PORTAL_QUERY,POST hsType=RCEP; hsCriteria=1; hsKeyword=842131; find_item=yes
CCU-ENGINE-OIL-FILTER,ACFTA,MAP-MY-ACFTA-2026-ENGINE-OIL-FILTER-8421231100,1,842123,8421231100,- - - - Oil filters,0E-8,0.1,CANDIDATE,2026-01-01,,SRC-MY-JKDM-ACFTA-842123-RATE2026-P1-60,PORTAL_QUERY,POST hsType=ACFTA; hsCriteria=1; hsKeyword=842123; find_item=yes
CCU-ENGINE-OIL-FILTER,ACFTA,MAP-MY-ACFTA-2026-ENGINE-OIL-FILTER-8421232100,1,842123,8421232100,- - - - Oil filters,0E-8,0.1,CANDIDATE,2026-01-01,,SRC-MY-JKDM-ACFTA-842123-RATE2026-P1-60,PORTAL_QUERY,POST hsType=ACFTA; hsCriteria=1; hsKeyword=842123; find_item=yes
CCU-ENGINE-OIL-FILTER,ACFTA,MAP-MY-ACFTA-2026-ENGINE-OIL-FILTER-8421239100,1,842123,8421239100,- - - - Oil filters,0E-8,0.1,CANDIDATE,2026-01-01,,SRC-MY-JKDM-ACFTA-842123-RATE2026-P1-60,PORTAL_QUERY,POST hsType=ACFTA; hsCriteria=1; hsKeyword=842123; find_item=yes
CCU-ENGINE-OIL-FILTER,MFN,MAP-MY-PDK2025-MFN-ENGINE-OIL-FILTER-8421231100,1,842123,8421231100,- - - - Oil filters,0.25000000,0.1,CANDIDATE,2025-11-01,,SRC-MY-JKDM-PDK2025-842123-P1-60-20260729,PORTAL_QUERY,POST hsType=PDK; hsCriteria=1; hsKeyword=842123; find_item=yes
CCU-ENGINE-OIL-FILTER,MFN,MAP-MY-PDK2025-MFN-ENGINE-OIL-FILTER-8421232100,1,842123,8421232100,- - - - Oil filters,0.25000000,0.1,CANDIDATE,2025-11-01,,SRC-MY-JKDM-PDK2025-842123-P1-60-20260729,PORTAL_QUERY,POST hsType=PDK; hsCriteria=1; hsKeyword=842123; find_item=yes
CCU-ENGINE-OIL-FILTER,MFN,MAP-MY-PDK2025-MFN-ENGINE-OIL-FILTER-8421239100,1,842123,8421239100,- - - - Oil filters,0.25000000,0.1,CANDIDATE,2025-11-01,,SRC-MY-JKDM-PDK2025-842123-P1-60-20260729,PORTAL_QUERY,POST hsType=PDK; hsCriteria=1; hsKeyword=842123; find_item=yes
CCU-ENGINE-OIL-FILTER,RCEP,MAP-MY-RCEP-2026-ENGINE-OIL-FILTER-8421231100,1,842123,8421231100,- - - - Oil filters,0.12500000,0.1,CANDIDATE,2026-01-01,,SRC-MY-JKDM-RCEP-842123-RATE2026-P1-60,PORTAL_QUERY,POST hsType=RCEP; hsCriteria=1; hsKeyword=842123; find_item=yes
CCU-ENGINE-OIL-FILTER,RCEP,MAP-MY-RCEP-2026-ENGINE-OIL-FILTER-8421232100,1,842123,8421232100,- - - - Oil filters,0.12500000,0.1,CANDIDATE,2026-01-01,,SRC-MY-JKDM-RCEP-842123-RATE2026-P1-60,PORTAL_QUERY,POST hsType=RCEP; hsCriteria=1; hsKeyword=842123; find_item=yes
CCU-ENGINE-OIL-FILTER,RCEP,MAP-MY-RCEP-2026-ENGINE-OIL-FILTER-8421239100,1,842123,8421239100,- - - - Oil filters,0.12500000,0.1,CANDIDATE,2026-01-01,,SRC-MY-JKDM-RCEP-842123-RATE2026-P1-60,PORTAL_QUERY,POST hsType=RCEP; hsCriteria=1; hsKeyword=842123; find_item=yes
CCU-EXHAUST-SILENCER-PIPE,ACFTA,MAP-MY-ACFTA-2026-EXHAUST-SILENCER-PIPE-8708922000,1,870892,8708922000,- - - For vehicles of heading 87.03,0E-8,0.1,CANDIDATE,2026-01-01,,SRC-MY-JKDM-ACFTA-870892-RATE2026-P1-60,PORTAL_QUERY,POST hsType=ACFTA; hsCriteria=1; hsKeyword=870892; find_item=yes
CCU-EXHAUST-SILENCER-PIPE,ACFTA,MAP-MY-ACFTA-2026-EXHAUST-SILENCER-PIPE-8708925100,1,870892,8708925100,- - - - Silencers (mufflers) and exhaust pipes,0E-8,0.1,CANDIDATE,2026-01-01,,SRC-MY-JKDM-ACFTA-870892-RATE2026-P1-60,PORTAL_QUERY,POST hsType=ACFTA; hsCriteria=1; hsKeyword=870892; find_item=yes
CCU-EXHAUST-SILENCER-PIPE,ACFTA,MAP-MY-ACFTA-2026-EXHAUST-SILENCER-PIPE-8708926100,1,870892,8708926100,- - - - Silencers (mufflers) and exhaust pipes,0E-8,0.1,CANDIDATE,2026-01-01,,SRC-MY-JKDM-ACFTA-870892-RATE2026-P1-60,PORTAL_QUERY,POST hsType=ACFTA; hsCriteria=1; hsKeyword=870892; find_item=yes
CCU-EXHAUST-SILENCER-PIPE,MFN,MAP-MY-PDK2025-MFN-EXHAUST-SILENCER-PIPE-8708922000,1,870892,8708922000,- - - For vehicles of heading 87.03,0.25000000,0.1,CANDIDATE,2025-11-01,,SRC-MY-JKDM-PDK2025-870892-P1-60-20260729,PORTAL_QUERY,POST hsType=PDK; hsCriteria=1; hsKeyword=870892; find_item=yes
CCU-EXHAUST-SILENCER-PIPE,MFN,MAP-MY-PDK2025-MFN-EXHAUST-SILENCER-PIPE-8708925100,1,870892,8708925100,- - - - Silencers (mufflers) and exhaust pipes,0.25000000,0.1,CANDIDATE,2025-11-01,,SRC-MY-JKDM-PDK2025-870892-P1-60-20260729,PORTAL_QUERY,POST hsType=PDK; hsCriteria=1; hsKeyword=870892; find_item=yes
CCU-EXHAUST-SILENCER-PIPE,MFN,MAP-MY-PDK2025-MFN-EXHAUST-SILENCER-PIPE-8708926100,1,870892,8708926100,- - - - Silencers (mufflers) and exhaust pipes,0.25000000,0.1,CANDIDATE,2025-11-01,,SRC-MY-JKDM-PDK2025-870892-P1-60-20260729,PORTAL_QUERY,POST hsType=PDK; hsCriteria=1; hsKeyword=870892; find_item=yes
CCU-EXHAUST-SILENCER-PIPE,RCEP,MAP-MY-RCEP-2026-EXHAUST-SILENCER-PIPE-8708922000,1,870892,8708922000,- - - For vehicles of heading 87.03,0.22700000,0.1,CANDIDATE,2026-01-01,,SRC-MY-JKDM-RCEP-870892-RATE2026-P1-60,PORTAL_QUERY,POST hsType=RCEP; hsCriteria=1; hsKeyword=870892; find_item=yes
CCU-EXHAUST-SILENCER-PIPE,RCEP,MAP-MY-RCEP-2026-EXHAUST-SILENCER-PIPE-8708925100,1,870892,8708925100,- - - - Silencers (mufflers) and exhaust pipes,0.22700000,0.1,CANDIDATE,2026-01-01,,SRC-MY-JKDM-RCEP-870892-RATE2026-P1-60,PORTAL_QUERY,POST hsType=RCEP; hsCriteria=1; hsKeyword=870892; find_item=yes
CCU-EXHAUST-SILENCER-PIPE,RCEP,MAP-MY-RCEP-2026-EXHAUST-SILENCER-PIPE-8708926100,1,870892,8708926100,- - - - Silencers (mufflers) and exhaust pipes,0.22700000,0.1,CANDIDATE,2026-01-01,,SRC-MY-JKDM-RCEP-870892-RATE2026-P1-60,PORTAL_QUERY,POST hsType=RCEP; hsCriteria=1; hsKeyword=870892; find_item=yes
CCU-FOUNDATION-BRAKE,ACFTA,MAP-MY-ACFTA-2026-CCU-FOUNDATION-BRAKE-8708302100,1,870830,8708302100,"Brake drums, brake discs or brake pipes - for vehicles of heading 87.03",0E-8,,CANDIDATE,2026-01-01,,SRC-MY-JKDM-ACFTA-870830-RATE-2026,HS_EXPLORER_RESULT,ACFTA; HS 870830; RATE_2026
CCU-FOUNDATION-BRAKE,ACFTA,MAP-MY-ACFTA-2026-CCU-FOUNDATION-BRAKE-8708302900,1,870830,8708302900,"Other brakes, servo-brakes and parts thereof - for vehicles of heading 87.03",0E-8,,CANDIDATE,2026-01-01,,SRC-MY-JKDM-ACFTA-870830-RATE-2026,HS_EXPLORER_RESULT,ACFTA; HS 870830; RATE_2026
CCU-FOUNDATION-BRAKE,MFN,MAP-MY-MFN-CCU-FOUNDATION-BRAKE-8708302100-R1,1,870830,8708302100,"Brake drums, brake discs or brake pipes",0.30000000,0.1,CANDIDATE,2025-11-01,,SRC-MY-JKDM-PDK2025-870830-20260728,PORTAL_POST_QUERY,POST hsType=PDK; hsCriteria=1; hsKeyword=870830; find_item=yes
CCU-FOUNDATION-BRAKE,MFN,MAP-MY-MFN-CCU-FOUNDATION-BRAKE-8708302900-R1,1,870830,8708302900,"Other brakes, servo-brakes and parts thereof",0.30000000,0.1,CANDIDATE,2025-11-01,,SRC-MY-JKDM-PDK2025-870830-20260728,PORTAL_POST_QUERY,POST hsType=PDK; hsCriteria=1; hsKeyword=870830; find_item=yes
