"regime","hs6_query","national_tariff_code","description","current_rate","source_file","source_sha256"
"ACFTA","840820","8408209500","- - - - Of a cylinder capacity exceeding 2,000 cc but not exceeding 3,500 cc","0","JKDM_HS_Explorer_ACFTA_840820_RATE_2026.html","e131b7dbf9512325f043c4355c585fa27d231004b2460000c01d53017d5653c3"
"ACFTA","840820","8408209600","- - - - Of a cylinder capacity exceeding 3,500 cc","0","JKDM_HS_Explorer_ACFTA_840820_RATE_2026.html","e131b7dbf9512325f043c4355c585fa27d231004b2460000c01d53017d5653c3"
"ACFTA","840991","840991","- - Suitable for use solely or principally with spark-ignition internal combustion piston engines :","","JKDM_HS_Explorer_ACFTA_840991_RATE_2026.html","6a385408687e90763ce87078df118bd7bf3ebf2d9671134ebfa328000b3c0540"
"ACFTA","840991","8409911100","- - - - Carburettors and parts thereof","0","JKDM_HS_Explorer_ACFTA_840991_RATE_2026.html","6a385408687e90763ce87078df118bd7bf3ebf2d9671134ebfa328000b3c0540"
"ACFTA","840991","8409911200","- - - - Cylinder blocks; crank cases","0","JKDM_HS_Explorer_ACFTA_840991_RATE_2026.html","6a385408687e90763ce87078df118bd7bf3ebf2d9671134ebfa328000b3c0540"
"ACFTA","840991","8409911300","- - - - Cylinder liners, with an internal diameter of 50 mm or more, but not exceeding 155 mm","0","JKDM_HS_Explorer_ACFTA_840991_RATE_2026.html","6a385408687e90763ce87078df118bd7bf3ebf2d9671134ebfa328000b3c0540"
"ACFTA","840991","8409911400","- - - - Other cylinder liners","0","JKDM_HS_Explorer_ACFTA_840991_RATE_2026.html","6a385408687e90763ce87078df118bd7bf3ebf2d9671134ebfa328000b3c0540"
"ACFTA","840991","8409911500","- - - - Cylinder heads and head covers","0","JKDM_HS_Explorer_ACFTA_840991_RATE_2026.html","6a385408687e90763ce87078df118bd7bf3ebf2d9671134ebfa328000b3c0540"
"ACFTA","840991","8409911600","- - - - Pistons, with an external diameter of 50 mm or more, but not exceeding 155 mm","0","JKDM_HS_Explorer_ACFTA_840991_RATE_2026.html","6a385408687e90763ce87078df118bd7bf3ebf2d9671134ebfa328000b3c0540"
"ACFTA","840991","8409911700","- - - - Other pistons","0","JKDM_HS_Explorer_ACFTA_840991_RATE_2026.html","6a385408687e90763ce87078df118bd7bf3ebf2d9671134ebfa328000b3c0540"
"ACFTA","840991","8409911800","- - - - Piston rings and gudgeon pins","0","JKDM_HS_Explorer_ACFTA_840991_RATE_2026.html","6a385408687e90763ce87078df118bd7bf3ebf2d9671134ebfa328000b3c0540"
"ACFTA","840991","8409911900","- - - - Other","0","JKDM_HS_Explorer_ACFTA_840991_RATE_2026.html","6a385408687e90763ce87078df118bd7bf3ebf2d9671134ebfa328000b3c0540"
"ACFTA","840991","8409912100","- - - - Carburettors and parts thereof","0","JKDM_HS_Explorer_ACFTA_840991_RATE_2026.html","6a385408687e90763ce87078df118bd7bf3ebf2d9671134ebfa328000b3c0540"
"ACFTA","840991","8409912200","- - - - Cylinder blocks; crank cases","0","JKDM_HS_Explorer_ACFTA_840991_RATE_2026.html","6a385408687e90763ce87078df118bd7bf3ebf2d9671134ebfa328000b3c0540"
"ACFTA","840991","8409912300","- - - - Cylinder liners, with an internal diameter of 50 mm or more, but not exceeding 155 mm","0","JKDM_HS_Explorer_ACFTA_840991_RATE_2026.html","6a385408687e90763ce87078df118bd7bf3ebf2d9671134ebfa328000b3c0540"
"ACFTA","840991","8409912400","- - - - Other cylinder liners","0","JKDM_HS_Explorer_ACFTA_840991_RATE_2026.html","6a385408687e90763ce87078df118bd7bf3ebf2d9671134ebfa328000b3c0540"
"ACFTA","840991","8409912600","- - - - Pistons, with an external diameter of 50 mm or more, but not exceeding 155 mm","0","JKDM_HS_Explorer_ACFTA_840991_RATE_2026.html","6a385408687e90763ce87078df118bd7bf3ebf2d9671134ebfa328000b3c0540"
"ACFTA","840991","8409912800","- - - - Piston rings and gudgeon pins","0","JKDM_HS_Explorer_ACFTA_840991_RATE_2026.html","6a385408687e90763ce87078df118bd7bf3ebf2d9671134ebfa328000b3c0540"
"ACFTA","840991","8409912900","- - - - Other","0","JKDM_HS_Explorer_ACFTA_840991_RATE_2026.html","6a385408687e90763ce87078df118bd7bf3ebf2d9671134ebfa328000b3c0540"
"ACFTA","840991","8409913100","- - - - Carburettors and parts thereof","0","JKDM_HS_Explorer_ACFTA_840991_RATE_2026.html","6a385408687e90763ce87078df118bd7bf3ebf2d9671134ebfa328000b3c0540"
"ACFTA","840991","8409913200","- - - - Cylinder blocks; crank cases","0","JKDM_HS_Explorer_ACFTA_840991_RATE_2026.html","6a385408687e90763ce87078df118bd7bf3ebf2d9671134ebfa328000b3c0540"
"ACFTA","840991","8409913400","- - - - Cylinder liners","0","JKDM_HS_Explorer_ACFTA_840991_RATE_2026.html","6a385408687e90763ce87078df118bd7bf3ebf2d9671134ebfa328000b3c0540"
"ACFTA","840991","8409913500","- - - - Cylinder heads and head covers","0","JKDM_HS_Explorer_ACFTA_840991_RATE_2026.html","6a385408687e90763ce87078df118bd7bf3ebf2d9671134ebfa328000b3c0540"
"ACFTA","840991","8409913700","- - - - Pistons","0","JKDM_HS_Explorer_ACFTA_840991_RATE_2026.html","6a385408687e90763ce87078df118bd7bf3ebf2d9671134ebfa328000b3c0540"
"ACFTA","840991","8409913800","- - - - Piston rings and gudgeon pins","0","JKDM_HS_Explorer_ACFTA_840991_RATE_2026.html","6a385408687e90763ce87078df118bd7bf3ebf2d9671134ebfa328000b3c0540"
"ACFTA","840991","8409913900","- - - - Other","0","JKDM_HS_Explorer_ACFTA_840991_RATE_2026.html","6a385408687e90763ce87078df118bd7bf3ebf2d9671134ebfa328000b3c0540"
"ACFTA","840991","8409914100","- - - - Carburettors and parts thereof","0","JKDM_HS_Explorer_ACFTA_840991_RATE_2026.html","6a385408687e90763ce87078df118bd7bf3ebf2d9671134ebfa328000b3c0540"
"ACFTA","840991","8409914200","- - - - Cylinder blocks; crank cases","0","JKDM_HS_Explorer_ACFTA_840991_RATE_2026.html","6a385408687e90763ce87078df118bd7bf3ebf2d9671134ebfa328000b3c0540"
"ACFTA","840991","8409914300","- - - - Cylinder liners, with an internal diameter of 50 mm or more, but not exceeding 155 mm","0","JKDM_HS_Explorer_ACFTA_840991_RATE_2026.html","6a385408687e90763ce87078df118bd7bf3ebf2d9671134ebfa328000b3c0540"
"ACFTA","840991","8409914400","- - - - Other cylinder liners","0","JKDM_HS_Explorer_ACFTA_840991_RATE_2026.html","6a385408687e90763ce87078df118bd7bf3ebf2d9671134ebfa328000b3c0540"
"ACFTA","840991","8409914500","- - - - Cylinder heads and head covers","0","JKDM_HS_Explorer_ACFTA_840991_RATE_2026.html","6a385408687e90763ce87078df118bd7bf3ebf2d9671134ebfa328000b3c0540"
"ACFTA","840991","8409914600","- - - - Pistons, with an external diameter of 50 mm or more, but not exceeding 155 mm","0","JKDM_HS_Explorer_ACFTA_840991_RATE_2026.html","6a385408687e90763ce87078df118bd7bf3ebf2d9671134ebfa328000b3c0540"
"ACFTA","840991","8409914700","- - - - Other pistons","0","JKDM_HS_Explorer_ACFTA_840991_RATE_2026.html","6a385408687e90763ce87078df118bd7bf3ebf2d9671134ebfa328000b3c0540"
"ACFTA","840991","8409914800","- - - - Piston rings and gudgeon pins","0","JKDM_HS_Explorer_ACFTA_840991_RATE_2026.html","6a385408687e90763ce87078df118bd7bf3ebf2d9671134ebfa328000b3c0540"
"ACFTA","840991","8409914900","- - - - Other","0","JKDM_HS_Explorer_ACFTA_840991_RATE_2026.html","6a385408687e90763ce87078df118bd7bf3ebf2d9671134ebfa328000b3c0540"
"ACFTA","840991","8409915100","- - - - - Cylinder blocks; crank cases","0","JKDM_HS_Explorer_ACFTA_840991_RATE_2026.html","6a385408687e90763ce87078df118bd7bf3ebf2d9671134ebfa328000b3c0540"
"ACFTA","840991","8409915200","- - - - - Cylinder liners, with an internal diameter of 50 mm or more, but not exceeding 155 mm","0","JKDM_HS_Explorer_ACFTA_840991_RATE_2026.html","6a385408687e90763ce87078df118bd7bf3ebf2d9671134ebfa328000b3c0540"
"ACFTA","840991","8409915300","- - - - - Other cylinder liners","0","JKDM_HS_Explorer_ACFTA_840991_RATE_2026.html","6a385408687e90763ce87078df118bd7bf3ebf2d9671134ebfa328000b3c0540"
"ACFTA","840991","8409915400","- - - - - Pistons, with an external diameter of 50 mm or more, but not exceeding 155 mm","0","JKDM_HS_Explorer_ACFTA_840991_RATE_2026.html","6a385408687e90763ce87078df118bd7bf3ebf2d9671134ebfa328000b3c0540"
"ACFTA","840991","8409915500","- - - - - Other pistons","0","JKDM_HS_Explorer_ACFTA_840991_RATE_2026.html","6a385408687e90763ce87078df118bd7bf3ebf2d9671134ebfa328000b3c0540"
"ACFTA","840991","8409915900","- - - - - Other","0","JKDM_HS_Explorer_ACFTA_840991_RATE_2026.html","6a385408687e90763ce87078df118bd7bf3ebf2d9671134ebfa328000b3c0540"
"ACFTA","840991","8409916100","- - - - - Cylinder blocks; crank cases","0","JKDM_HS_Explorer_ACFTA_840991_RATE_2026.html","6a385408687e90763ce87078df118bd7bf3ebf2d9671134ebfa328000b3c0540"
"ACFTA","840991","8409916200","- - - - - Cylinder liners, with an internal diameter of 50 mm or more, but not exceeding 155 mm","0","JKDM_HS_Explorer_ACFTA_840991_RATE_2026.html","6a385408687e90763ce87078df118bd7bf3ebf2d9671134ebfa328000b3c0540"
"ACFTA","840991","8409916300","- - - - - Other cylinder liners","0","JKDM_HS_Explorer_ACFTA_840991_RATE_2026.html","6a385408687e90763ce87078df118bd7bf3ebf2d9671134ebfa328000b3c0540"
"ACFTA","840991","8409916400","- - - - - Pistons, with an external diameter of 50 mm or more, but not exceeding 155 mm","0","JKDM_HS_Explorer_ACFTA_840991_RATE_2026.html","6a385408687e90763ce87078df118bd7bf3ebf2d9671134ebfa328000b3c0540"
"ACFTA","840991","8409916900","- - - - - Other","0","JKDM_HS_Explorer_ACFTA_840991_RATE_2026.html","6a385408687e90763ce87078df118bd7bf3ebf2d9671134ebfa328000b3c0540"
"ACFTA","840991","8409917100","- - - - Carburettors and parts thereof","0","JKDM_HS_Explorer_ACFTA_840991_RATE_2026.html","6a385408687e90763ce87078df118bd7bf3ebf2d9671134ebfa328000b3c0540"
"ACFTA","840991","8409917200","- - - - Cylinder blocks; crank cases","0","JKDM_HS_Explorer_ACFTA_840991_RATE_2026.html","6a385408687e90763ce87078df118bd7bf3ebf2d9671134ebfa328000b3c0540"
"ACFTA","840991","8409917300","- - - - Cylinder liners, with an internal diameter of 50 mm or more, but not exceeding 155 mm","0","JKDM_HS_Explorer_ACFTA_840991_RATE_2026.html","6a385408687e90763ce87078df118bd7bf3ebf2d9671134ebfa328000b3c0540"
"ACFTA","840991","8409917400","- - - - Other cylinder liners","0","JKDM_HS_Explorer_ACFTA_840991_RATE_2026.html","6a385408687e90763ce87078df118bd7bf3ebf2d9671134ebfa328000b3c0540"
"ACFTA","840991","8409917600","- - - - Pistons, with an external diameter of 50 mm or more, but not exceeding 155 mm","0","JKDM_HS_Explorer_ACFTA_840991_RATE_2026.html","6a385408687e90763ce87078df118bd7bf3ebf2d9671134ebfa328000b3c0540"
"ACFTA","840991","8409917700","- - - - Other pistons","0","JKDM_HS_Explorer_ACFTA_840991_RATE_2026.html","6a385408687e90763ce87078df118bd7bf3ebf2d9671134ebfa328000b3c0540"
"ACFTA","840991","8409917800","- - - - Piston rings and gudgeon pins","0","JKDM_HS_Explorer_ACFTA_840991_RATE_2026.html","6a385408687e90763ce87078df118bd7bf3ebf2d9671134ebfa328000b3c0540"
"ACFTA","840991","8409917900","- - - - Other","0","JKDM_HS_Explorer_ACFTA_840991_RATE_2026.html","6a385408687e90763ce87078df118bd7bf3ebf2d9671134ebfa328000b3c0540"
"ACFTA","840999","840999","- - Other :","","JKDM_HS_Explorer_ACFTA_840999_RATE_2026.html","86071d32b20b63560cfd7c5e8c08746772829e7e274a08e2e57493d5aa20196f"
"ACFTA","840999","8409991100","- - - - Carburettors and parts thereof","0","JKDM_HS_Explorer_ACFTA_840999_RATE_2026.html","86071d32b20b63560cfd7c5e8c08746772829e7e274a08e2e57493d5aa20196f"
"ACFTA","840999","8409991200","- - - - Cylinder blocks; crank cases","0","JKDM_HS_Explorer_ACFTA_840999_RATE_2026.html","86071d32b20b63560cfd7c5e8c08746772829e7e274a08e2e57493d5aa20196f"
"ACFTA","840999","8409991300","- - - - Cylinder liners, with an internal diameter of 50 mm or more, but not exceeding 155 mm","0","JKDM_HS_Explorer_ACFTA_840999_RATE_2026.html","86071d32b20b63560cfd7c5e8c08746772829e7e274a08e2e57493d5aa20196f"
"ACFTA","840999","8409991400","- - - - Other cylinder liners","0","JKDM_HS_Explorer_ACFTA_840999_RATE_2026.html","86071d32b20b63560cfd7c5e8c08746772829e7e274a08e2e57493d5aa20196f"
"ACFTA","840999","8409991500","- - - - Cylinder heads and head covers","0","JKDM_HS_Explorer_ACFTA_840999_RATE_2026.html","86071d32b20b63560cfd7c5e8c08746772829e7e274a08e2e57493d5aa20196f"
"ACFTA","840999","8409991600","- - - - Pistons, with an external diameter of 50 mm or more, but not exceeding 155 mm","0","JKDM_HS_Explorer_ACFTA_840999_RATE_2026.html","86071d32b20b63560cfd7c5e8c08746772829e7e274a08e2e57493d5aa20196f"
"ACFTA","840999","8409991700","- - - - Other pistons","0","JKDM_HS_Explorer_ACFTA_840999_RATE_2026.html","86071d32b20b63560cfd7c5e8c08746772829e7e274a08e2e57493d5aa20196f"
"ACFTA","840999","8409991800","- - - - Piston rings and gudgeon pins","0","JKDM_HS_Explorer_ACFTA_840999_RATE_2026.html","86071d32b20b63560cfd7c5e8c08746772829e7e274a08e2e57493d5aa20196f"
"ACFTA","840999","8409991900","- - - - Other","0","JKDM_HS_Explorer_ACFTA_840999_RATE_2026.html","86071d32b20b63560cfd7c5e8c08746772829e7e274a08e2e57493d5aa20196f"
"ACFTA","840999","8409992100","- - - - Carburettors and parts thereof","0","JKDM_HS_Explorer_ACFTA_840999_RATE_2026.html","86071d32b20b63560cfd7c5e8c08746772829e7e274a08e2e57493d5aa20196f"
"ACFTA","840999","8409992200","- - - - Cylinder blocks; crank cases","0","JKDM_HS_Explorer_ACFTA_840999_RATE_2026.html","86071d32b20b63560cfd7c5e8c08746772829e7e274a08e2e57493d5aa20196f"
"ACFTA","840999","8409992300","- - - - Cylinder liners, with an internal diameter of 50 mm or more, but not exceeding 155 mm","0","JKDM_HS_Explorer_ACFTA_840999_RATE_2026.html","86071d32b20b63560cfd7c5e8c08746772829e7e274a08e2e57493d5aa20196f"
"ACFTA","840999","8409992400","- - - - Other cylinder liners","0","JKDM_HS_Explorer_ACFTA_840999_RATE_2026.html","86071d32b20b63560cfd7c5e8c08746772829e7e274a08e2e57493d5aa20196f"
"ACFTA","840999","8409992500","- - - - Cylinder heads and head covers","0","JKDM_HS_Explorer_ACFTA_840999_RATE_2026.html","86071d32b20b63560cfd7c5e8c08746772829e7e274a08e2e57493d5aa20196f"
"ACFTA","840999","8409992600","- - - - Pistons, with an external diameter of 50 mm or more, but not exceeding 155 mm","0","JKDM_HS_Explorer_ACFTA_840999_RATE_2026.html","86071d32b20b63560cfd7c5e8c08746772829e7e274a08e2e57493d5aa20196f"
"ACFTA","840999","8409992700","- - - - Other pistons","0","JKDM_HS_Explorer_ACFTA_840999_RATE_2026.html","86071d32b20b63560cfd7c5e8c08746772829e7e274a08e2e57493d5aa20196f"
"ACFTA","840999","8409992900","- - - - Other","0","JKDM_HS_Explorer_ACFTA_840999_RATE_2026.html","86071d32b20b63560cfd7c5e8c08746772829e7e274a08e2e57493d5aa20196f"
"ACFTA","840999","8409993100","- - - - Carburettors and parts thereof","0","JKDM_HS_Explorer_ACFTA_840999_RATE_2026.html","86071d32b20b63560cfd7c5e8c08746772829e7e274a08e2e57493d5aa20196f"
"ACFTA","840999","8409993200","- - - - Cylinder blocks; crank cases","0","JKDM_HS_Explorer_ACFTA_840999_RATE_2026.html","86071d32b20b63560cfd7c5e8c08746772829e7e274a08e2e57493d5aa20196f"
"ACFTA","840999","8409993400","- - - - Cylinder heads and head covers","0","JKDM_HS_Explorer_ACFTA_840999_RATE_2026.html","86071d32b20b63560cfd7c5e8c08746772829e7e274a08e2e57493d5aa20196f"
"ACFTA","840999","8409993600","- - - - Piston rings and gudgeon pins","0","JKDM_HS_Explorer_ACFTA_840999_RATE_2026.html","86071d32b20b63560cfd7c5e8c08746772829e7e274a08e2e57493d5aa20196f"
"ACFTA","840999","8409993700","- - - - Cylinder liners, with an internal diameter of 50 mm or more, but not exceeding 155 mm; pistons, with an external diameter of 50 mm or more, but not exceeding 155 mm","0","JKDM_HS_Explorer_ACFTA_840999_RATE_2026.html","86071d32b20b63560cfd7c5e8c08746772829e7e274a08e2e57493d5aa20196f"
"ACFTA","840999","8409993800","- - - - Other cylinder liners and pistons","0","JKDM_HS_Explorer_ACFTA_840999_RATE_2026.html","86071d32b20b63560cfd7c5e8c08746772829e7e274a08e2e57493d5aa20196f"
"ACFTA","840999","8409993900","- - - - Other","0","JKDM_HS_Explorer_ACFTA_840999_RATE_2026.html","86071d32b20b63560cfd7c5e8c08746772829e7e274a08e2e57493d5aa20196f"
"ACFTA","840999","8409994100","- - - - Carburettors and parts thereof","0","JKDM_HS_Explorer_ACFTA_840999_RATE_2026.html","86071d32b20b63560cfd7c5e8c08746772829e7e274a08e2e57493d5aa20196f"
"ACFTA","840999","8409994200","- - - - Cylinder blocks; crank cases","0","JKDM_HS_Explorer_ACFTA_840999_RATE_2026.html","86071d32b20b63560cfd7c5e8c08746772829e7e274a08e2e57493d5aa20196f"
"ACFTA","840999","8409994300","- - - - Cylinder liners, with an internal diameter of 50 mm or more, but not exceeding 155 mm","0","JKDM_HS_Explorer_ACFTA_840999_RATE_2026.html","86071d32b20b63560cfd7c5e8c08746772829e7e274a08e2e57493d5aa20196f"
"ACFTA","840999","8409994400","- - - - Other cylinder liners","0","JKDM_HS_Explorer_ACFTA_840999_RATE_2026.html","86071d32b20b63560cfd7c5e8c08746772829e7e274a08e2e57493d5aa20196f"
"ACFTA","840999","8409994500","- - - - Cylinder heads and head covers","0","JKDM_HS_Explorer_ACFTA_840999_RATE_2026.html","86071d32b20b63560cfd7c5e8c08746772829e7e274a08e2e57493d5aa20196f"
"ACFTA","840999","8409994600","- - - - Pistons, with an external diameter of 50 mm or more, but not exceeding 155 mm","0","JKDM_HS_Explorer_ACFTA_840999_RATE_2026.html","86071d32b20b63560cfd7c5e8c08746772829e7e274a08e2e57493d5aa20196f"
"ACFTA","840999","8409994700","- - - - Other pistons","0","JKDM_HS_Explorer_ACFTA_840999_RATE_2026.html","86071d32b20b63560cfd7c5e8c08746772829e7e274a08e2e57493d5aa20196f"
