agreement,origin_group,origin_countries,source_file,vn_code,hs6_code,national_tariff_code_as_stored,description_vi,rates_extracted,rate_2026,rate_2027,country_markers,business_scope_guess,extraction_status
RCEP,ASEAN,"BN,KH,ID,LA,MY,SG,TH,MM,PH",2023_129 + 130_129-2022-NĐ-CP.doc,8703.22.42,870322,8703224200,- - - - Xe địa hình ATV (All-Terrain Vehicles),70|70|70|70|70|70,70,70,,CBU_OR_ORDINARY_VEHICLE_BLOCK,EXTRACTED_FROM_WORDDOCUMENT_CELL_STREAM
RCEP,ASEAN,"BN,KH,ID,LA,MY,SG,TH,MM,PH",2023_129 + 130_129-2022-NĐ-CP.doc,8703.22.43,870322,8703224300,- - - - Ô tô cứu thương,20|20|20|20|20|20,20,20,,CBU_OR_ORDINARY_VEHICLE_BLOCK,EXTRACTED_FROM_WORDDOCUMENT_CELL_STREAM
RCEP,ASEAN,"BN,KH,ID,LA,MY,SG,TH,MM,PH",2023_129 + 130_129-2022-NĐ-CP.doc,8703.22.44,870322,8703224400,- - - - Ô tô tang lễ,70|70|70|70|70|70,70,70,,CBU_OR_ORDINARY_VEHICLE_BLOCK,EXTRACTED_FROM_WORDDOCUMENT_CELL_STREAM
RCEP,ASEAN,"BN,KH,ID,LA,MY,SG,TH,MM,PH",2023_129 + 130_129-2022-NĐ-CP.doc,8703.22.45,870322,8703224500,- - - - Ô tô chở phạm nhân,70|70|70|70|70|70,70,70,,CBU_OR_ORDINARY_VEHICLE_BLOCK,EXTRACTED_FROM_WORDDOCUMENT_CELL_STREAM
RCEP,ASEAN,"BN,KH,ID,LA,MY,SG,TH,MM,PH",2023_129 + 130_129-2022-NĐ-CP.doc,8703.22.46,870322,8703224600,- - - - Ô tô nhà ở lưu động (có nội thất được thiết kế như căn hộ) (Motor-homes),70|70|70|70|70|70,70,70,,CBU_OR_ORDINARY_VEHICLE_BLOCK,EXTRACTED_FROM_WORDDOCUMENT_CELL_STREAM
RCEP,ASEAN,"BN,KH,ID,LA,MY,SG,TH,MM,PH",2023_129 + 130_129-2022-NĐ-CP.doc,8703.22.47,870322,8703224700,- - - - Ô tô kiểu Sedan,70|70|70|70|70|70,70,70,,CBU_OR_ORDINARY_VEHICLE_BLOCK,EXTRACTED_FROM_WORDDOCUMENT_CELL_STREAM
RCEP,ASEAN,"BN,KH,ID,LA,MY,SG,TH,MM,PH",2023_129 + 130_129-2022-NĐ-CP.doc,8703.22.51,870322,8703225100,- - - - - Loại bốn bánh chủ động,70|70|70|70|70|70,70,70,,CBU_OR_ORDINARY_VEHICLE_BLOCK,EXTRACTED_FROM_WORDDOCUMENT_CELL_STREAM
RCEP,ASEAN,"BN,KH,ID,LA,MY,SG,TH,MM,PH",2023_129 + 130_129-2022-NĐ-CP.doc,8703.22.59,870322,8703225900,- - - - - Loại khác,70|70|70|70|70|70,70,70,,CBU_OR_ORDINARY_VEHICLE_BLOCK,EXTRACTED_FROM_WORDDOCUMENT_CELL_STREAM
RCEP,ASEAN,"BN,KH,ID,LA,MY,SG,TH,MM,PH",2023_129 + 130_129-2022-NĐ-CP.doc,8703.22.90,870322,8703229000,- - - - Loại khác,70|70|70|70|70|70,70,70,,CBU_OR_ORDINARY_VEHICLE_BLOCK,EXTRACTED_FROM_WORDDOCUMENT_CELL_STREAM
RCEP,ASEAN,"BN,KH,ID,LA,MY,SG,TH,MM,PH",2023_129 + 130_129-2022-NĐ-CP.doc,8703.23.51,870323,8703235100,- - - - Ô tô cứu thương,20|20|20|20|20|20,20,20,,CBU_OR_ORDINARY_VEHICLE_BLOCK,EXTRACTED_FROM_WORDDOCUMENT_CELL_STREAM
RCEP,ASEAN,"BN,KH,ID,LA,MY,SG,TH,MM,PH",2023_129 + 130_129-2022-NĐ-CP.doc,8703.23.52,870323,8703235200,- - - - Ô tô tang lễ,20|20|20|20|20|20,20,20,,CBU_OR_ORDINARY_VEHICLE_BLOCK,EXTRACTED_FROM_WORDDOCUMENT_CELL_STREAM
RCEP,ASEAN,"BN,KH,ID,LA,MY,SG,TH,MM,PH",2023_129 + 130_129-2022-NĐ-CP.doc,8703.23.53,870323,8703235300,- - - - Ô tô chở phạm nhân,15|15|15|15|15|15,15,15,,CBU_OR_ORDINARY_VEHICLE_BLOCK,EXTRACTED_FROM_WORDDOCUMENT_CELL_STREAM
RCEP,ASEAN,"BN,KH,ID,LA,MY,SG,TH,MM,PH",2023_129 + 130_129-2022-NĐ-CP.doc,8703.23.54,870323,8703235400,- - - - Ô tô nhà ở lưu động (có nội thất được thiết kế như căn hộ) (Motor-homes),67|67|67|67|67|67,67,67,,CBU_OR_ORDINARY_VEHICLE_BLOCK,EXTRACTED_FROM_WORDDOCUMENT_CELL_STREAM
RCEP,ASEAN,"BN,KH,ID,LA,MY,SG,TH,MM,PH",2023_129 + 130_129-2022-NĐ-CP.doc,8703.23.55,870323,8703235500,- - - - - Dung tích xi lanh trên 1.500 cc nhưng không quá 1.800 cc,70|70|70|70|70|70,70,70,,CBU_OR_ORDINARY_VEHICLE_BLOCK,EXTRACTED_FROM_WORDDOCUMENT_CELL_STREAM
RCEP,ASEAN,"BN,KH,ID,LA,MY,SG,TH,MM,PH",2023_129 + 130_129-2022-NĐ-CP.doc,8703.23.56,870323,8703235600,- - - - - Dung tích xi lanh trên 1.800 cc nhưng không quá 2.000 cc,70|70|70|70|70|70,70,70,,CBU_OR_ORDINARY_VEHICLE_BLOCK,EXTRACTED_FROM_WORDDOCUMENT_CELL_STREAM
RCEP,ASEAN,"BN,KH,ID,LA,MY,SG,TH,MM,PH",2023_129 + 130_129-2022-NĐ-CP.doc,8703.23.57,870323,8703235700,- - - - - Dung tích xi lanh trên 2.000 cc nhưng không quá 2.500 cc,70|70|70|70|70|70,70,70,,CBU_OR_ORDINARY_VEHICLE_BLOCK,EXTRACTED_FROM_WORDDOCUMENT_CELL_STREAM
RCEP,ASEAN,"BN,KH,ID,LA,MY,SG,TH,MM,PH",2023_129 + 130_129-2022-NĐ-CP.doc,8703.23.58,870323,8703235800,- - - - - Dung tích xi lanh trên 2.500 cc,70|70|70|70|70|70,70,70,,CBU_OR_ORDINARY_VEHICLE_BLOCK,EXTRACTED_FROM_WORDDOCUMENT_CELL_STREAM
RCEP,ASEAN,"BN,KH,ID,LA,MY,SG,TH,MM,PH",2023_129 + 130_129-2022-NĐ-CP.doc,8703.23.61,870323,8703236100,- - - - - Dung tích xi lanh trên 1.500 cc nhưng không quá 1.800 cc,70|70|70|70|70|70,70,70,,CBU_OR_ORDINARY_VEHICLE_BLOCK,EXTRACTED_FROM_WORDDOCUMENT_CELL_STREAM
RCEP,ASEAN,"BN,KH,ID,LA,MY,SG,TH,MM,PH",2023_129 + 130_129-2022-NĐ-CP.doc,8703.23.62,870323,8703236200,- - - - - Dung tích xi lanh trên 1.800 cc nhưng không quá 2.000 cc,70|70|70|70|70|70,70,70,,CBU_OR_ORDINARY_VEHICLE_BLOCK,EXTRACTED_FROM_WORDDOCUMENT_CELL_STREAM
RCEP,ASEAN,"BN,KH,ID,LA,MY,SG,TH,MM,PH",2023_129 + 130_129-2022-NĐ-CP.doc,8703.23.63,870323,8703236300,- - - - - Dung tích xi lanh trên 2.000 cc nhưng không quá 2.500 cc,70|70|70|70|70|70,70,70,,CBU_OR_ORDINARY_VEHICLE_BLOCK,EXTRACTED_FROM_WORDDOCUMENT_CELL_STREAM
RCEP,ASEAN,"BN,KH,ID,LA,MY,SG,TH,MM,PH",2023_129 + 130_129-2022-NĐ-CP.doc,8703.23.64,870323,8703236400,- - - - - Dung tích xi lanh trên 2.500 cc,70|70|70|70|70|70,70,70,,CBU_OR_ORDINARY_VEHICLE_BLOCK,EXTRACTED_FROM_WORDDOCUMENT_CELL_STREAM
RCEP,ASEAN,"BN,KH,ID,LA,MY,SG,TH,MM,PH",2023_129 + 130_129-2022-NĐ-CP.doc,8703.23.65,870323,8703236500,- - - - - Dung tích xi lanh trên 1.500 cc nhưng không quá 1.800 cc,70|70|70|70|70|70,70,70,,CBU_OR_ORDINARY_VEHICLE_BLOCK,EXTRACTED_FROM_WORDDOCUMENT_CELL_STREAM
RCEP,ASEAN,"BN,KH,ID,LA,MY,SG,TH,MM,PH",2023_129 + 130_129-2022-NĐ-CP.doc,8703.23.66,870323,8703236600,- - - - - Dung tích xi lanh trên 1.800 cc nhưng không quá 2.000 cc,70|70|70|70|70|70,70,70,,CBU_OR_ORDINARY_VEHICLE_BLOCK,EXTRACTED_FROM_WORDDOCUMENT_CELL_STREAM
RCEP,ASEAN,"BN,KH,ID,LA,MY,SG,TH,MM,PH",2023_129 + 130_129-2022-NĐ-CP.doc,8703.23.67,870323,8703236700,- - - - - Dung tích xi lanh trên 2.000 cc nhưng không quá 2.500 cc,70|70|70|70|70|70,70,70,,CBU_OR_ORDINARY_VEHICLE_BLOCK,EXTRACTED_FROM_WORDDOCUMENT_CELL_STREAM
RCEP,ASEAN,"BN,KH,ID,LA,MY,SG,TH,MM,PH",2023_129 + 130_129-2022-NĐ-CP.doc,8703.23.68,870323,8703236800,- - - - - Dung tích xi lanh trên 2.500 cc,70|70|70|70|70|70,70,70,,CBU_OR_ORDINARY_VEHICLE_BLOCK,EXTRACTED_FROM_WORDDOCUMENT_CELL_STREAM
RCEP,ASEAN,"BN,KH,ID,LA,MY,SG,TH,MM,PH",2023_129 + 130_129-2022-NĐ-CP.doc,8703.23.71,870323,8703237100,- - - - - Dung tích xi lanh trên 1.500 cc nhưng không quá 1.800 cc,70|70|70|70|70|70,70,70,,CBU_OR_ORDINARY_VEHICLE_BLOCK,EXTRACTED_FROM_WORDDOCUMENT_CELL_STREAM
RCEP,ASEAN,"BN,KH,ID,LA,MY,SG,TH,MM,PH",2023_129 + 130_129-2022-NĐ-CP.doc,8703.23.72,870323,8703237200,- - - - - Dung tích xi lanh trên 1.800 cc nhưng không quá 2.000 cc,70|70|70|70|70|70,70,70,,CBU_OR_ORDINARY_VEHICLE_BLOCK,EXTRACTED_FROM_WORDDOCUMENT_CELL_STREAM
RCEP,ASEAN,"BN,KH,ID,LA,MY,SG,TH,MM,PH",2023_129 + 130_129-2022-NĐ-CP.doc,8703.23.73,870323,8703237300,- - - - - Dung tích xi lanh trên 2.000 cc nhưng không quá 2.500 cc,70|70|70|70|70|70,70,70,,CBU_OR_ORDINARY_VEHICLE_BLOCK,EXTRACTED_FROM_WORDDOCUMENT_CELL_STREAM
RCEP,ASEAN,"BN,KH,ID,LA,MY,SG,TH,MM,PH",2023_129 + 130_129-2022-NĐ-CP.doc,8703.23.74,870323,8703237400,- - - - - Dung tích xi lanh trên 2.500 cc,67|67|67|67|67|67,67,67,,CBU_OR_ORDINARY_VEHICLE_BLOCK,EXTRACTED_FROM_WORDDOCUMENT_CELL_STREAM
RCEP,ASEAN,"BN,KH,ID,LA,MY,SG,TH,MM,PH",2023_129 + 130_129-2022-NĐ-CP.doc,8703.24.41,870324,8703244100,- - - - Ô tô cứu thương,15|15|15|15|15|15,15,15,,CBU_OR_ORDINARY_VEHICLE_BLOCK,EXTRACTED_FROM_WORDDOCUMENT_CELL_STREAM
RCEP,ASEAN,"BN,KH,ID,LA,MY,SG,TH,MM,PH",2023_129 + 130_129-2022-NĐ-CP.doc,8703.24.42,870324,8703244200,- - - - Ô tô tang lễ,15|15|15|15|15|15,15,15,,CBU_OR_ORDINARY_VEHICLE_BLOCK,EXTRACTED_FROM_WORDDOCUMENT_CELL_STREAM
RCEP,ASEAN,"BN,KH,ID,LA,MY,SG,TH,MM,PH",2023_129 + 130_129-2022-NĐ-CP.doc,8703.24.43,870324,8703244300,- - - - Ô tô chở phạm nhân,15|15|15|15|15|15,15,15,,CBU_OR_ORDINARY_VEHICLE_BLOCK,EXTRACTED_FROM_WORDDOCUMENT_CELL_STREAM
RCEP,ASEAN,"BN,KH,ID,LA,MY,SG,TH,MM,PH",2023_129 + 130_129-2022-NĐ-CP.doc,8703.24.44,870324,8703244400,- - - - Ô tô nhà ở lưu động (có nội thất được thiết kế như căn hộ) (Motor-homes),67|67|67|67|67|67,67,67,,CBU_OR_ORDINARY_VEHICLE_BLOCK,EXTRACTED_FROM_WORDDOCUMENT_CELL_STREAM
RCEP,ASEAN,"BN,KH,ID,LA,MY,SG,TH,MM,PH",2023_129 + 130_129-2022-NĐ-CP.doc,8703.24.45,870324,8703244500,- - - - - Loại bốn bánh chủ động,59|59|59|59|59|59,59,59,,CBU_OR_ORDINARY_VEHICLE_BLOCK,EXTRACTED_FROM_WORDDOCUMENT_CELL_STREAM
RCEP,ASEAN,"BN,KH,ID,LA,MY,SG,TH,MM,PH",2023_129 + 130_129-2022-NĐ-CP.doc,8703.24.49,870324,8703244900,- - - - - Loại khác,67|67|67|67|67|67,67,67,,CBU_OR_ORDINARY_VEHICLE_BLOCK,EXTRACTED_FROM_WORDDOCUMENT_CELL_STREAM
RCEP,ASEAN,"BN,KH,ID,LA,MY,SG,TH,MM,PH",2023_129 + 130_129-2022-NĐ-CP.doc,8703.24.51,870324,8703245100,- - - - - Loại bốn bánh chủ động,59|59|59|59|59|59,59,59,,CBU_OR_ORDINARY_VEHICLE_BLOCK,EXTRACTED_FROM_WORDDOCUMENT_CELL_STREAM
RCEP,ASEAN,"BN,KH,ID,LA,MY,SG,TH,MM,PH",2023_129 + 130_129-2022-NĐ-CP.doc,8703.24.59,870324,8703245900,- - - - - Loại khác,67|67|67|67|67|67,67,67,,CBU_OR_ORDINARY_VEHICLE_BLOCK,EXTRACTED_FROM_WORDDOCUMENT_CELL_STREAM
RCEP,ASEAN,"BN,KH,ID,LA,MY,SG,TH,MM,PH",2023_129 + 130_129-2022-NĐ-CP.doc,8703.24.61,870324,8703246100,- - - - - Loại bốn bánh chủ động,59|59|59|59|59|59,59,59,,CBU_OR_ORDINARY_VEHICLE_BLOCK,EXTRACTED_FROM_WORDDOCUMENT_CELL_STREAM
RCEP,ASEAN,"BN,KH,ID,LA,MY,SG,TH,MM,PH",2023_129 + 130_129-2022-NĐ-CP.doc,8703.24.69,870324,8703246900,- - - - - Loại khác,67|67|67|67|67|67,67,67,,CBU_OR_ORDINARY_VEHICLE_BLOCK,EXTRACTED_FROM_WORDDOCUMENT_CELL_STREAM
RCEP,ASEAN,"BN,KH,ID,LA,MY,SG,TH,MM,PH",2023_129 + 130_129-2022-NĐ-CP.doc,8703.40.41,870340,8703404100,- - - - Dung tích xi lanh không quá 1.000 cc,70|70|70|70|70|70,70,70,,CBU_OR_ORDINARY_VEHICLE_BLOCK,EXTRACTED_FROM_WORDDOCUMENT_CELL_STREAM
RCEP,ASEAN,"BN,KH,ID,LA,MY,SG,TH,MM,PH",2023_129 + 130_129-2022-NĐ-CP.doc,8703.40.42,870340,8703404200,- - - - Dung tích xi lanh trên 1.000 cc nhưng không quá 1.500 cc,70|70|70|70|70|70,70,70,,CBU_OR_ORDINARY_VEHICLE_BLOCK,EXTRACTED_FROM_WORDDOCUMENT_CELL_STREAM
RCEP,ASEAN,"BN,KH,ID,LA,MY,SG,TH,MM,PH",2023_129 + 130_129-2022-NĐ-CP.doc,8703.40.43,870340,8703404300,- - - - Dung tích xi lanh trên 1.500 cc nhưng không quá 1.800 cc,70|70|70|70|70|70,70,70,,CBU_OR_ORDINARY_VEHICLE_BLOCK,EXTRACTED_FROM_WORDDOCUMENT_CELL_STREAM
RCEP,ASEAN,"BN,KH,ID,LA,MY,SG,TH,MM,PH",2023_129 + 130_129-2022-NĐ-CP.doc,8703.40.44,870340,8703404400,- - - - Dung tích xi lanh trên 1.800 cc nhưng không quá 2.000 cc,70|70|70|70|70|70,70,70,,CBU_OR_ORDINARY_VEHICLE_BLOCK,EXTRACTED_FROM_WORDDOCUMENT_CELL_STREAM
RCEP,ASEAN,"BN,KH,ID,LA,MY,SG,TH,MM,PH",2023_129 + 130_129-2022-NĐ-CP.doc,8703.40.45,870340,8703404500,- - - - Dung tích xi lanh trên 2.000 cc nhưng không quá 2.500 cc,70|70|70|70|70|70,70,70,,CBU_OR_ORDINARY_VEHICLE_BLOCK,EXTRACTED_FROM_WORDDOCUMENT_CELL_STREAM
RCEP,ASEAN,"BN,KH,ID,LA,MY,SG,TH,MM,PH",2023_129 + 130_129-2022-NĐ-CP.doc,8703.40.46,870340,8703404600,- - - - Dung tích xi lanh trên 2.500 cc nhưng không quá 3.000 cc,70|70|70|70|70|70,70,70,,CBU_OR_ORDINARY_VEHICLE_BLOCK,EXTRACTED_FROM_WORDDOCUMENT_CELL_STREAM
RCEP,ASEAN,"BN,KH,ID,LA,MY,SG,TH,MM,PH",2023_129 + 130_129-2022-NĐ-CP.doc,8703.40.47,870340,8703404700,- - - - Dung tích xi lanh trên 3.000 cc,70|70|70|70|70|70,70,70,,CBU_OR_ORDINARY_VEHICLE_BLOCK,EXTRACTED_FROM_WORDDOCUMENT_CELL_STREAM
RCEP,ASEAN,"BN,KH,ID,LA,MY,SG,TH,MM,PH",2023_129 + 130_129-2022-NĐ-CP.doc,8703.40.51,870340,8703405100,- - - - Dung tích xi lanh không quá 1.000 cc,70|70|70|70|70|70,70,70,,CBU_OR_ORDINARY_VEHICLE_BLOCK,EXTRACTED_FROM_WORDDOCUMENT_CELL_STREAM
RCEP,ASEAN,"BN,KH,ID,LA,MY,SG,TH,MM,PH",2023_129 + 130_129-2022-NĐ-CP.doc,8703.40.52,870340,8703405200,- - - - Dung tích xi lanh trên 1.000 cc nhưng không quá 1.500 cc,70|70|70|70|70|70,70,70,,CBU_OR_ORDINARY_VEHICLE_BLOCK,EXTRACTED_FROM_WORDDOCUMENT_CELL_STREAM
RCEP,ASEAN,"BN,KH,ID,LA,MY,SG,TH,MM,PH",2023_129 + 130_129-2022-NĐ-CP.doc,8703.40.53,870340,8703405300,- - - - Dung tích xi lanh trên 1.500 cc nhưng không quá 1.800 cc,70|70|70|70|70|70,70,70,,CBU_OR_ORDINARY_VEHICLE_BLOCK,EXTRACTED_FROM_WORDDOCUMENT_CELL_STREAM
RCEP,ASEAN,"BN,KH,ID,LA,MY,SG,TH,MM,PH",2023_129 + 130_129-2022-NĐ-CP.doc,8703.40.54,870340,8703405400,- - - - Dung tích xi lanh trên 1.800 cc nhưng không quá 3.000 cc,70|70|70|70|70|70,70,70,,CBU_OR_ORDINARY_VEHICLE_BLOCK,EXTRACTED_FROM_WORDDOCUMENT_CELL_STREAM
RCEP,ASEAN,"BN,KH,ID,LA,MY,SG,TH,MM,PH",2023_129 + 130_129-2022-NĐ-CP.doc,8703.40.55,870340,8703405500,- - - - Dung tích xi lanh trên 3.000 cc,70|70|70|70|70|70,70,70,,CBU_OR_ORDINARY_VEHICLE_BLOCK,EXTRACTED_FROM_WORDDOCUMENT_CELL_STREAM
RCEP,ASEAN,"BN,KH,ID,LA,MY,SG,TH,MM,PH",2023_129 + 130_129-2022-NĐ-CP.doc,8703.40.56,870340,8703405600,- - - - Dung tích xi lanh không quá 1.500 cc,70|70|70|70|70|70,70,70,,CBU_OR_ORDINARY_VEHICLE_BLOCK,EXTRACTED_FROM_WORDDOCUMENT_CELL_STREAM
RCEP,ASEAN,"BN,KH,ID,LA,MY,SG,TH,MM,PH",2023_129 + 130_129-2022-NĐ-CP.doc,8703.40.57,870340,8703405700,- - - - Dung tích xi lanh trên 1.500 cc nhưng không quá 2.000 cc,70|70|70|70|70|70,70,70,,CBU_OR_ORDINARY_VEHICLE_BLOCK,EXTRACTED_FROM_WORDDOCUMENT_CELL_STREAM
RCEP,ASEAN,"BN,KH,ID,LA,MY,SG,TH,MM,PH",2023_129 + 130_129-2022-NĐ-CP.doc,8703.40.58,870340,8703405800,- - - - Dung tích xi lanh trên 2.000 cc,70|70|70|70|70|70,70,70,,CBU_OR_ORDINARY_VEHICLE_BLOCK,EXTRACTED_FROM_WORDDOCUMENT_CELL_STREAM
RCEP,ASEAN,"BN,KH,ID,LA,MY,SG,TH,MM,PH",2023_129 + 130_129-2022-NĐ-CP.doc,8703.40.61,870340,8703406100,- - - - Dung tích xi lanh không quá 1.000 cc,70|70|70|70|70|70,70,70,,CBU_OR_ORDINARY_VEHICLE_BLOCK,EXTRACTED_FROM_WORDDOCUMENT_CELL_STREAM
RCEP,ASEAN,"BN,KH,ID,LA,MY,SG,TH,MM,PH",2023_129 + 130_129-2022-NĐ-CP.doc,8703.40.62,870340,8703406200,- - - - Dung tích xi lanh trên 1.000 cc nhưng không quá 1.500 cc,70|70|70|70|70|70,70,70,,CBU_OR_ORDINARY_VEHICLE_BLOCK,EXTRACTED_FROM_WORDDOCUMENT_CELL_STREAM
RCEP,ASEAN,"BN,KH,ID,LA,MY,SG,TH,MM,PH",2023_129 + 130_129-2022-NĐ-CP.doc,8703.40.63,870340,8703406300,- - - - Dung tích xi lanh trên 1.500 cc nhưng không quá 1.800 cc,70|70|70|70|70|70,70,70,,CBU_OR_ORDINARY_VEHICLE_BLOCK,EXTRACTED_FROM_WORDDOCUMENT_CELL_STREAM
RCEP,ASEAN,"BN,KH,ID,LA,MY,SG,TH,MM,PH",2023_129 + 130_129-2022-NĐ-CP.doc,8703.40.64,870340,8703406400,- - - - Dung tích xi lanh trên 1.800 cc nhưng không quá 2.000 cc,70|70|70|70|70|70,70,70,,CBU_OR_ORDINARY_VEHICLE_BLOCK,EXTRACTED_FROM_WORDDOCUMENT_CELL_STREAM
RCEP,ASEAN,"BN,KH,ID,LA,MY,SG,TH,MM,PH",2023_129 + 130_129-2022-NĐ-CP.doc,8703.40.65,870340,8703406500,- - - - Dung tích xi lanh trên 2.000 cc nhưng không quá 2.500 cc,70|70|70|70|70|70,70,70,,CBU_OR_ORDINARY_VEHICLE_BLOCK,EXTRACTED_FROM_WORDDOCUMENT_CELL_STREAM
RCEP,ASEAN,"BN,KH,ID,LA,MY,SG,TH,MM,PH",2023_129 + 130_129-2022-NĐ-CP.doc,8703.40.66,870340,8703406600,- - - - Dung tích xi lanh trên 2.500 cc nhưng không quá 3.000 cc,70|70|70|70|70|70,70,70,,CBU_OR_ORDINARY_VEHICLE_BLOCK,EXTRACTED_FROM_WORDDOCUMENT_CELL_STREAM
RCEP,ASEAN,"BN,KH,ID,LA,MY,SG,TH,MM,PH",2023_129 + 130_129-2022-NĐ-CP.doc,8703.40.67,870340,8703406700,"- - - - Dung tích xi lanh trên 3.000 cc, loại bốn bánh chủ động",70|70|70|70|70|70,70,70,,CBU_OR_ORDINARY_VEHICLE_BLOCK,EXTRACTED_FROM_WORDDOCUMENT_CELL_STREAM
RCEP,ASEAN,"BN,KH,ID,LA,MY,SG,TH,MM,PH",2023_129 + 130_129-2022-NĐ-CP.doc,8703.40.68,870340,8703406800,"- - - - Dung tích xi lanh trên 3.000 cc, không phải loại bốn bánh chủ động",70|70|70|70|70|70,70,70,,CBU_OR_ORDINARY_VEHICLE_BLOCK,EXTRACTED_FROM_WORDDOCUMENT_CELL_STREAM
RCEP,ASEAN,"BN,KH,ID,LA,MY,SG,TH,MM,PH",2023_129 + 130_129-2022-NĐ-CP.doc,8703.40.71,870340,8703407100,- - - - Dung tích xi lanh không quá 1.000 cc,70|70|70|70|70|70,70,70,,CBU_OR_ORDINARY_VEHICLE_BLOCK,EXTRACTED_FROM_WORDDOCUMENT_CELL_STREAM
RCEP,ASEAN,"BN,KH,ID,LA,MY,SG,TH,MM,PH",2023_129 + 130_129-2022-NĐ-CP.doc,8703.40.72,870340,8703407200,- - - - Dung tích xi lanh trên 1.000 cc nhưng không quá 1.500 cc,70|70|70|70|70|70,70,70,,CBU_OR_ORDINARY_VEHICLE_BLOCK,EXTRACTED_FROM_WORDDOCUMENT_CELL_STREAM
RCEP,ASEAN,"BN,KH,ID,LA,MY,SG,TH,MM,PH",2023_129 + 130_129-2022-NĐ-CP.doc,8703.40.73,870340,8703407300,- - - - Dung tích xi lanh trên 1.500 cc nhưng không quá 1.800 cc,70|70|70|70|70|70,70,70,,CBU_OR_ORDINARY_VEHICLE_BLOCK,EXTRACTED_FROM_WORDDOCUMENT_CELL_STREAM
