agreement,source_extract_file,vn_hs8_code,national_tariff_code_as_stored,hs6_code,extraction_status,preferential_rate,rate_year_columns,context_snippet
RCEP,2023_129_130_129-2022-N_-CP_8703.txt,8703.21.39,8703213900,870321,HS_CODE_FOUND_RATE_NEEDS_TABLE_EXTRACTION,,,"ành lý chung (station wagons) và ô tô thể thao, nhưng không kể ô tô van): 8703.21.21 - - - - - Loại bốn bánh chủ động 8703.21.29 - - - - - Loại khác - - - - Loại khác: 8703.21.31 - - - - - Xe 3 bánh 8703.21.39 - - - - - Loại khác - - - Loại khác: 8703.21.41 - - - - Xe đua cỡ nhỏ 8703.21.42 - - - - Xe địa hình ATV (All-Terrain Vehicles) 8703.21.43 - - - - Ô tô cứu thương 8703.21.44 - - - - Ô tô nhà ở lưu động (có nội thất được thiết kế như căn hộ) (Motor-homes) 8703.21.45 - - - - Ô tô kiểu Sedan - - - - Ô tô khác (kể cả ô tô chở người có khoang chở hành lý chung (station wagons) và ô tô thể thao, nhưn"
RCEP,2023_129_130_129-2022-N_-CP_8703.txt,8703.21.41,8703214100,870321,HS_CODE_FOUND_RATE_NEEDS_TABLE_EXTRACTION,,,"nhưng không kể ô tô van): 8703.21.21 - - - - - Loại bốn bánh chủ động 8703.21.29 - - - - - Loại khác - - - - Loại khác: 8703.21.31 - - - - - Xe 3 bánh 8703.21.39 - - - - - Loại khác - - - Loại khác: 8703.21.41 - - - - Xe đua cỡ nhỏ 8703.21.42 - - - - Xe địa hình ATV (All-Terrain Vehicles) 8703.21.43 - - - - Ô tô cứu thương 8703.21.44 - - - - Ô tô nhà ở lưu động (có nội thất được thiết kế như căn hộ) (Motor-homes) 8703.21.45 - - - - Ô tô kiểu Sedan - - - - Ô tô khác (kể cả ô tô chở người có khoang chở hành lý chung (station wagons) và ô tô thể thao, nhưng không kể ô tô van): 8703.21.51 - - - - - Loại"
RCEP,2023_129_130_129-2022-N_-CP_8703.txt,8703.21.42,8703214200,870321,HS_CODE_FOUND_RATE_NEEDS_TABLE_EXTRACTION,,,"21 - - - - - Loại bốn bánh chủ động 8703.21.29 - - - - - Loại khác - - - - Loại khác: 8703.21.31 - - - - - Xe 3 bánh 8703.21.39 - - - - - Loại khác - - - Loại khác: 8703.21.41 - - - - Xe đua cỡ nhỏ 8703.21.42 - - - - Xe địa hình ATV (All-Terrain Vehicles) 8703.21.43 - - - - Ô tô cứu thương 8703.21.44 - - - - Ô tô nhà ở lưu động (có nội thất được thiết kế như căn hộ) (Motor-homes) 8703.21.45 - - - - Ô tô kiểu Sedan - - - - Ô tô khác (kể cả ô tô chở người có khoang chở hành lý chung (station wagons) và ô tô thể thao, nhưng không kể ô tô van): 8703.21.51 - - - - - Loại bốn bánh chủ động 8703.21.59 - - -"
RCEP,2023_129_130_129-2022-N_-CP_8703.txt,8703.21.43,8703214300,870321,HS_CODE_FOUND_RATE_NEEDS_TABLE_EXTRACTION,,,"oại khác - - - - Loại khác: 8703.21.31 - - - - - Xe 3 bánh 8703.21.39 - - - - - Loại khác - - - Loại khác: 8703.21.41 - - - - Xe đua cỡ nhỏ 8703.21.42 - - - - Xe địa hình ATV (All-Terrain Vehicles) 8703.21.43 - - - - Ô tô cứu thương 8703.21.44 - - - - Ô tô nhà ở lưu động (có nội thất được thiết kế như căn hộ) (Motor-homes) 8703.21.45 - - - - Ô tô kiểu Sedan - - - - Ô tô khác (kể cả ô tô chở người có khoang chở hành lý chung (station wagons) và ô tô thể thao, nhưng không kể ô tô van): 8703.21.51 - - - - - Loại bốn bánh chủ động 8703.21.59 - - - - - Loại khác - - - - Loại khác: 8703.21.91 - - - - - Xe"
RCEP,2023_129_130_129-2022-N_-CP_8703.txt,8703.21.44,8703214400,870321,HS_CODE_FOUND_RATE_NEEDS_TABLE_EXTRACTION,,,".31 - - - - - Xe 3 bánh 8703.21.39 - - - - - Loại khác - - - Loại khác: 8703.21.41 - - - - Xe đua cỡ nhỏ 8703.21.42 - - - - Xe địa hình ATV (All-Terrain Vehicles) 8703.21.43 - - - - Ô tô cứu thương 8703.21.44 - - - - Ô tô nhà ở lưu động (có nội thất được thiết kế như căn hộ) (Motor-homes) 8703.21.45 - - - - Ô tô kiểu Sedan - - - - Ô tô khác (kể cả ô tô chở người có khoang chở hành lý chung (station wagons) và ô tô thể thao, nhưng không kể ô tô van): 8703.21.51 - - - - - Loại bốn bánh chủ động 8703.21.59 - - - - - Loại khác - - - - Loại khác: 8703.21.91 - - - - - Xe 3 bánh 8703.21.99 - - - - - Loại k"
RCEP,2023_129_130_129-2022-N_-CP_8703.txt,8703.21.45,8703214500,870321,HS_CODE_FOUND_RATE_NEEDS_TABLE_EXTRACTION,,,"Xe đua cỡ nhỏ 8703.21.42 - - - - Xe địa hình ATV (All-Terrain Vehicles) 8703.21.43 - - - - Ô tô cứu thương 8703.21.44 - - - - Ô tô nhà ở lưu động (có nội thất được thiết kế như căn hộ) (Motor-homes) 8703.21.45 - - - - Ô tô kiểu Sedan - - - - Ô tô khác (kể cả ô tô chở người có khoang chở hành lý chung (station wagons) và ô tô thể thao, nhưng không kể ô tô van): 8703.21.51 - - - - - Loại bốn bánh chủ động 8703.21.59 - - - - - Loại khác - - - - Loại khác: 8703.21.91 - - - - - Xe 3 bánh 8703.21.99 - - - - - Loại khác 8703.22 - - Dung tích xi lanh trên 1.000 cc nhưng không quá 1.500 cc: - - - Dạng CKD: 87"
RCEP,2023_129_130_129-2022-N_-CP_8703.txt,8703.21.51,8703215100,870321,HS_CODE_FOUND_RATE_NEEDS_TABLE_EXTRACTION,,,"thiết kế như căn hộ) (Motor-homes) 8703.21.45 - - - - Ô tô kiểu Sedan - - - - Ô tô khác (kể cả ô tô chở người có khoang chở hành lý chung (station wagons) và ô tô thể thao, nhưng không kể ô tô van): 8703.21.51 - - - - - Loại bốn bánh chủ động 8703.21.59 - - - - - Loại khác - - - - Loại khác: 8703.21.91 - - - - - Xe 3 bánh 8703.21.99 - - - - - Loại khác 8703.22 - - Dung tích xi lanh trên 1.000 cc nhưng không quá 1.500 cc: - - - Dạng CKD: 8703.22.11 - - - - Xe đua cỡ nhỏ 8703.22.12 - - - - Xe địa hình ATV (All-Terrain Vehicles) 8703.22.13 - - - - Ô tô cứu thương 8703.22.14 - - - - Ô tô tang lễ 8703.22."
RCEP,2023_129_130_129-2022-N_-CP_8703.txt,8703.21.59,8703215900,870321,HS_CODE_FOUND_RATE_NEEDS_TABLE_EXTRACTION,,,"5 - - - - Ô tô kiểu Sedan - - - - Ô tô khác (kể cả ô tô chở người có khoang chở hành lý chung (station wagons) và ô tô thể thao, nhưng không kể ô tô van): 8703.21.51 - - - - - Loại bốn bánh chủ động 8703.21.59 - - - - - Loại khác - - - - Loại khác: 8703.21.91 - - - - - Xe 3 bánh 8703.21.99 - - - - - Loại khác 8703.22 - - Dung tích xi lanh trên 1.000 cc nhưng không quá 1.500 cc: - - - Dạng CKD: 8703.22.11 - - - - Xe đua cỡ nhỏ 8703.22.12 - - - - Xe địa hình ATV (All-Terrain Vehicles) 8703.22.13 - - - - Ô tô cứu thương 8703.22.14 - - - - Ô tô tang lễ 8703.22.15 - - - - Ô tô chở phạm nhân 8703.22.16 - -"
RCEP,2023_129_130_129-2022-N_-CP_8703.txt,8703.21.91,8703219100,870321,HS_CODE_FOUND_RATE_NEEDS_TABLE_EXTRACTION,,,"ả ô tô chở người có khoang chở hành lý chung (station wagons) và ô tô thể thao, nhưng không kể ô tô van): 8703.21.51 - - - - - Loại bốn bánh chủ động 8703.21.59 - - - - - Loại khác - - - - Loại khác: 8703.21.91 - - - - - Xe 3 bánh 8703.21.99 - - - - - Loại khác 8703.22 - - Dung tích xi lanh trên 1.000 cc nhưng không quá 1.500 cc: - - - Dạng CKD: 8703.22.11 - - - - Xe đua cỡ nhỏ 8703.22.12 - - - - Xe địa hình ATV (All-Terrain Vehicles) 8703.22.13 - - - - Ô tô cứu thương 8703.22.14 - - - - Ô tô tang lễ 8703.22.15 - - - - Ô tô chở phạm nhân 8703.22.16 - - - - Ô tô nhà ở lưu động (có nội thất được thiết k"
RCEP,2023_129_130_129-2022-N_-CP_8703.txt,8703.21.99,8703219900,870321,HS_CODE_FOUND_RATE_NEEDS_TABLE_EXTRACTION,,,"ành lý chung (station wagons) và ô tô thể thao, nhưng không kể ô tô van): 8703.21.51 - - - - - Loại bốn bánh chủ động 8703.21.59 - - - - - Loại khác - - - - Loại khác: 8703.21.91 - - - - - Xe 3 bánh 8703.21.99 - - - - - Loại khác 8703.22 - - Dung tích xi lanh trên 1.000 cc nhưng không quá 1.500 cc: - - - Dạng CKD: 8703.22.11 - - - - Xe đua cỡ nhỏ 8703.22.12 - - - - Xe địa hình ATV (All-Terrain Vehicles) 8703.22.13 - - - - Ô tô cứu thương 8703.22.14 - - - - Ô tô tang lễ 8703.22.15 - - - - Ô tô chở phạm nhân 8703.22.16 - - - - Ô tô nhà ở lưu động (có nội thất được thiết kế như căn hộ) (Motor-homes) 8703"
RCEP,2023_129_130_129-2022-N_-CP_8703.txt,8703.22.11,8703221100,870322,HS_CODE_FOUND_RATE_NEEDS_TABLE_EXTRACTION,,,8703.21.59 - - - - - Loại khác - - - - Loại khác: 8703.21.91 - - - - - Xe 3 bánh 8703.21.99 - - - - - Loại khác 8703.22 - - Dung tích xi lanh trên 1.000 cc nhưng không quá 1.500 cc: - - - Dạng CKD: 8703.22.11 - - - - Xe đua cỡ nhỏ 8703.22.12 - - - - Xe địa hình ATV (All-Terrain Vehicles) 8703.22.13 - - - - Ô tô cứu thương 8703.22.14 - - - - Ô tô tang lễ 8703.22.15 - - - - Ô tô chở phạm nhân 8703.22.16 - - - - Ô tô nhà ở lưu động (có nội thất được thiết kế như căn hộ) (Motor-homes) 8703.22.17 - - - - Ô tô kiểu Sedan - - - - Ô tô khác (kể cả ô tô chở người có khoang chở hành lý chung (station wagons)
RCEP,2023_129_130_129-2022-N_-CP_8703.txt,8703.22.12,8703221200,870322,HS_CODE_FOUND_RATE_NEEDS_TABLE_EXTRACTION,,,"- - - Loại khác: 8703.21.91 - - - - - Xe 3 bánh 8703.21.99 - - - - - Loại khác 8703.22 - - Dung tích xi lanh trên 1.000 cc nhưng không quá 1.500 cc: - - - Dạng CKD: 8703.22.11 - - - - Xe đua cỡ nhỏ 8703.22.12 - - - - Xe địa hình ATV (All-Terrain Vehicles) 8703.22.13 - - - - Ô tô cứu thương 8703.22.14 - - - - Ô tô tang lễ 8703.22.15 - - - - Ô tô chở phạm nhân 8703.22.16 - - - - Ô tô nhà ở lưu động (có nội thất được thiết kế như căn hộ) (Motor-homes) 8703.22.17 - - - - Ô tô kiểu Sedan - - - - Ô tô khác (kể cả ô tô chở người có khoang chở hành lý chung (station wagons) và ô tô thể thao, nhưng không kể ô"
RCEP,2023_129_130_129-2022-N_-CP_8703.txt,8703.22.13,8703221300,870322,HS_CODE_FOUND_RATE_NEEDS_TABLE_EXTRACTION,,,"9 - - - - - Loại khác 8703.22 - - Dung tích xi lanh trên 1.000 cc nhưng không quá 1.500 cc: - - - Dạng CKD: 8703.22.11 - - - - Xe đua cỡ nhỏ 8703.22.12 - - - - Xe địa hình ATV (All-Terrain Vehicles) 8703.22.13 - - - - Ô tô cứu thương 8703.22.14 - - - - Ô tô tang lễ 8703.22.15 - - - - Ô tô chở phạm nhân 8703.22.16 - - - - Ô tô nhà ở lưu động (có nội thất được thiết kế như căn hộ) (Motor-homes) 8703.22.17 - - - - Ô tô kiểu Sedan - - - - Ô tô khác (kể cả ô tô chở người có khoang chở hành lý chung (station wagons) và ô tô thể thao, nhưng không kể ô tô van): 8703.22.21 - - - - - Loại bốn bánh chủ động 8703"
RCEP,2023_129_130_129-2022-N_-CP_8703.txt,8703.22.14,8703221400,870322,HS_CODE_FOUND_RATE_NEEDS_TABLE_EXTRACTION,,,"ung tích xi lanh trên 1.000 cc nhưng không quá 1.500 cc: - - - Dạng CKD: 8703.22.11 - - - - Xe đua cỡ nhỏ 8703.22.12 - - - - Xe địa hình ATV (All-Terrain Vehicles) 8703.22.13 - - - - Ô tô cứu thương 8703.22.14 - - - - Ô tô tang lễ 8703.22.15 - - - - Ô tô chở phạm nhân 8703.22.16 - - - - Ô tô nhà ở lưu động (có nội thất được thiết kế như căn hộ) (Motor-homes) 8703.22.17 - - - - Ô tô kiểu Sedan - - - - Ô tô khác (kể cả ô tô chở người có khoang chở hành lý chung (station wagons) và ô tô thể thao, nhưng không kể ô tô van): 8703.22.21 - - - - - Loại bốn bánh chủ động 8703.22.29 - - - - - Loại khác 8703.22."
RCEP,2023_129_130_129-2022-N_-CP_8703.txt,8703.22.15,8703221500,870322,HS_CODE_FOUND_RATE_NEEDS_TABLE_EXTRACTION,,,"hưng không quá 1.500 cc: - - - Dạng CKD: 8703.22.11 - - - - Xe đua cỡ nhỏ 8703.22.12 - - - - Xe địa hình ATV (All-Terrain Vehicles) 8703.22.13 - - - - Ô tô cứu thương 8703.22.14 - - - - Ô tô tang lễ 8703.22.15 - - - - Ô tô chở phạm nhân 8703.22.16 - - - - Ô tô nhà ở lưu động (có nội thất được thiết kế như căn hộ) (Motor-homes) 8703.22.17 - - - - Ô tô kiểu Sedan - - - - Ô tô khác (kể cả ô tô chở người có khoang chở hành lý chung (station wagons) và ô tô thể thao, nhưng không kể ô tô van): 8703.22.21 - - - - - Loại bốn bánh chủ động 8703.22.29 - - - - - Loại khác 8703.22.30 - - - - Loại khác - - - Loại"
RCEP,2023_129_130_129-2022-N_-CP_8703.txt,8703.22.16,8703221600,870322,HS_CODE_FOUND_RATE_NEEDS_TABLE_EXTRACTION,,,"D: 8703.22.11 - - - - Xe đua cỡ nhỏ 8703.22.12 - - - - Xe địa hình ATV (All-Terrain Vehicles) 8703.22.13 - - - - Ô tô cứu thương 8703.22.14 - - - - Ô tô tang lễ 8703.22.15 - - - - Ô tô chở phạm nhân 8703.22.16 - - - - Ô tô nhà ở lưu động (có nội thất được thiết kế như căn hộ) (Motor-homes) 8703.22.17 - - - - Ô tô kiểu Sedan - - - - Ô tô khác (kể cả ô tô chở người có khoang chở hành lý chung (station wagons) và ô tô thể thao, nhưng không kể ô tô van): 8703.22.21 - - - - - Loại bốn bánh chủ động 8703.22.29 - - - - - Loại khác 8703.22.30 - - - - Loại khác - - - Loại khác: 8703.22.41 - - - - Xe đua cỡ nhỏ"
RCEP,2023_129_130_129-2022-N_-CP_8703.txt,8703.22.17,8703221700,870322,HS_CODE_FOUND_RATE_NEEDS_TABLE_EXTRACTION,,,"s) 8703.22.13 - - - - Ô tô cứu thương 8703.22.14 - - - - Ô tô tang lễ 8703.22.15 - - - - Ô tô chở phạm nhân 8703.22.16 - - - - Ô tô nhà ở lưu động (có nội thất được thiết kế như căn hộ) (Motor-homes) 8703.22.17 - - - - Ô tô kiểu Sedan - - - - Ô tô khác (kể cả ô tô chở người có khoang chở hành lý chung (station wagons) và ô tô thể thao, nhưng không kể ô tô van): 8703.22.21 - - - - - Loại bốn bánh chủ động 8703.22.29 - - - - - Loại khác 8703.22.30 - - - - Loại khác - - - Loại khác: 8703.22.41 - - - - Xe đua cỡ nhỏ 8703.22.42 - - - - Xe địa hình ATV (All-Terrain Vehicles) 8703.22.43 - - - - Ô tô cứu thươ"
RCEP,2023_129_130_129-2022-N_-CP_8703.txt,8703.22.21,8703222100,870322,HS_CODE_FOUND_RATE_NEEDS_TABLE_EXTRACTION,,,"thiết kế như căn hộ) (Motor-homes) 8703.22.17 - - - - Ô tô kiểu Sedan - - - - Ô tô khác (kể cả ô tô chở người có khoang chở hành lý chung (station wagons) và ô tô thể thao, nhưng không kể ô tô van): 8703.22.21 - - - - - Loại bốn bánh chủ động 8703.22.29 - - - - - Loại khác 8703.22.30 - - - - Loại khác - - - Loại khác: 8703.22.41 - - - - Xe đua cỡ nhỏ 8703.22.42 - - - - Xe địa hình ATV (All-Terrain Vehicles) 8703.22.43 - - - - Ô tô cứu thương 8703.22.44 - - - - Ô tô tang lễ 8703.22.45 - - - - Ô tô chở phạm nhân 8703.22.46 - - - - Ô tô nhà ở lưu động (có nội thất được thiết kế như căn hộ) (Motor-homes)"
RCEP,2023_129_130_129-2022-N_-CP_8703.txt,8703.22.29,8703222900,870322,HS_CODE_FOUND_RATE_NEEDS_TABLE_EXTRACTION,,,"7 - - - - Ô tô kiểu Sedan - - - - Ô tô khác (kể cả ô tô chở người có khoang chở hành lý chung (station wagons) và ô tô thể thao, nhưng không kể ô tô van): 8703.22.21 - - - - - Loại bốn bánh chủ động 8703.22.29 - - - - - Loại khác 8703.22.30 - - - - Loại khác - - - Loại khác: 8703.22.41 - - - - Xe đua cỡ nhỏ 8703.22.42 - - - - Xe địa hình ATV (All-Terrain Vehicles) 8703.22.43 - - - - Ô tô cứu thương 8703.22.44 - - - - Ô tô tang lễ 8703.22.45 - - - - Ô tô chở phạm nhân 8703.22.46 - - - - Ô tô nhà ở lưu động (có nội thất được thiết kế như căn hộ) (Motor-homes) 8703.22.47 - - - - Ô tô kiểu Sedan - - - -"
RCEP,2023_129_130_129-2022-N_-CP_8703.txt,8703.22.30,8703223000,870322,HS_CODE_FOUND_RATE_NEEDS_TABLE_EXTRACTION,,,"- - Ô tô khác (kể cả ô tô chở người có khoang chở hành lý chung (station wagons) và ô tô thể thao, nhưng không kể ô tô van): 8703.22.21 - - - - - Loại bốn bánh chủ động 8703.22.29 - - - - - Loại khác 8703.22.30 - - - - Loại khác - - - Loại khác: 8703.22.41 - - - - Xe đua cỡ nhỏ 8703.22.42 - - - - Xe địa hình ATV (All-Terrain Vehicles) 8703.22.43 - - - - Ô tô cứu thương 8703.22.44 - - - - Ô tô tang lễ 8703.22.45 - - - - Ô tô chở phạm nhân 8703.22.46 - - - - Ô tô nhà ở lưu động (có nội thất được thiết kế như căn hộ) (Motor-homes) 8703.22.47 - - - - Ô tô kiểu Sedan - - - - Ô tô khác (kể cả ô tô chở người"
RCEP,2023_129_130_129-2022-N_-CP_8703.txt,8703.22.41,8703224100,870322,HS_CODE_FOUND_RATE_NEEDS_TABLE_EXTRACTION,,,"chở hành lý chung (station wagons) và ô tô thể thao, nhưng không kể ô tô van): 8703.22.21 - - - - - Loại bốn bánh chủ động 8703.22.29 - - - - - Loại khác 8703.22.30 - - - - Loại khác - - - Loại khác: 8703.22.41 - - - - Xe đua cỡ nhỏ 8703.22.42 - - - - Xe địa hình ATV (All-Terrain Vehicles) 8703.22.43 - - - - Ô tô cứu thương 8703.22.44 - - - - Ô tô tang lễ 8703.22.45 - - - - Ô tô chở phạm nhân 8703.22.46 - - - - Ô tô nhà ở lưu động (có nội thất được thiết kế như căn hộ) (Motor-homes) 8703.22.47 - - - - Ô tô kiểu Sedan - - - - Ô tô khác (kể cả ô tô chở người có khoang chở hành lý chung (station wagons)"
